roi,centrality
0,0.11375393879832067
1,0.06994996373494963
2,0.05133270023393247
3,-0.12286829679574757
4,0.23078316568852547
5,0.038788456246680314
6,0.1052829526695577
7,0.30367201527040516
8,-0.03579108490301501
9,0.26882725065240354
10,0.0676263648697668
11,-0.30096463271442564
12,0.06762636486976682
13,-0.018371754227391675
14,0.21408467611294946
15,0.13669418497887903
16,-0.25485310850322446
17,-0.10554324762840227
18,0.08876566600212041
19,-0.14478512671975205
20,-0.15925551431765336
21,0.06829268964190867
22,-0.12038585308576794
23,-0.5891609146606529
24,-0.41661015439127563
25,-0.021183567172437755
26,-0.02183426931574253
27,-0.24383032611118696
28,-0.019034674690673634
29,-0.025666350116969362
30,0.1532566569139845
31,0.08483757897365096
32,0.29313132575464984
33,-0.01903467469067122
34,-0.017796411807836313
35,-0.02731209538162102
36,0.19617157607080865
37,0.1648451183489468
38,0.042006425794371804
39,0.09295895583307442
40,0.09351893011702614
41,0.18777471611536245
42,-0.15925551431765345
43,0.07372097807744857
44,0.021392197012177823
45,0.19990406906475044
46,0.27031025295064487
47,-0.20603412036458107
48,-0.1283166715559229
49,0.14286576923575395
50,0.21408467611294937
51,-0.020319324739514
52,-0.25291899096747306
53,-0.253474663720403
54,-0.03266125475215935
55,-0.03159470489033516
56,-0.3594875185182485
57,-0.0813909470661865
58,0.07065589699739765
59,0.11796010029057151
60,-0.24745077097873325
61,0.26696233223655425
62,-0.36509653398259956
63,-0.1840186845246446
64,-0.3208293764620888
65,-0.12286829679574757
66,-0.26019522173727216
67,-0.5567845705216804
68,0.1183858962176719
69,0.06416587529241713
70,-0.24745077097873794
71,-0.14478512671975202
72,-0.1266387620312885
73,-0.14478512671975202
74,-0.03686048903872429
75,-0.012833175058481545
76,-0.01608723630219466
77,-0.3362477474623892
78,-0.1209535652614604
79,0.12645949548373644
80,-0.02275078775966356
81,-0.16683127576028514
82,-0.4021809075548663
83,-0.13324272283470123
84,0.0676263648697702
85,-0.10266540046786803
86,0.32358946974142777
87,0.29516302634511965
88,-0.016087236302194673
89,0.11261065411536271
90,-0.47482747716389545
91,0.4377975178854561
92,-0.22116293423234573
93,0.2703102529506446
94,0.047195020093189696
95,0.07372097807744861
96,-0.14478512671975208
97,0.2925792088309106
98,-0.2734830171373094
99,-0.13324272283470567
100,-0.019034674690673513
101,-0.24745077097873774
102,-0.07372097807744857
103,0.08483757897365089
104,-0.02457365935914951
105,-0.017796411807832795
106,0.23847191822497638
107,0.11901318776002068
108,0.1530491415473716
109,-0.22187407090427413
110,-0.16683127576028828
111,
112,-0.01608723630219468
113,-0.4348731789723744
114,-inf
115,
116,
117,-0.012833175058483514
118,0.14116492564331892
119,-inf
120,
121,-0.01903467469067359
122,-0.012833175058481545
123,-0.11537451687022073
124,-0.22718952944482948
125,0.05363989048891134
126,-0.16683127576028514
127,-0.7882745788075389
128,-0.2314432547468431
129,-0.4348731789723786
130,-0.024573659359149496
131,-0.021834269315742515
132,-0.44491029519584796
133,0.1530491415473733
134,-0.40354771152036706
135,0.24760948937433017
136,-0.08876566600212044
137,-0.03387711845355169
138,-0.10382904420501735
139,-0.02305527281216135
140,0.047195020093189634
141,-0.18170454443267142
142,0.1992963218106793
143,-0.36401260415463377
144,0.1418527934582065
145,0.20004940101347418
146,-0.43487317897237887
147,-0.1811485720955717
148,-0.3594875185182485
149,-0.1266387620312931
150,0.23078316568852547
151,-0.44105224017794376
152,-0.25666350116967157
153,-0.021834269315738227
154,-0.07984165093750085
155,-0.23243952545194926
156,0.07524115817860451
157,-0.10210192245386496
158,-0.21613248371681368
159,0.10921670706536676
160,-0.032661254752159335
161,-0.12663876203129304
162,-0.12286829679574775
163,0.04200642579437188
164,-0.025203855476623075
165,-0.6288255778656959
166,-0.18114857209556853
167,0.15997084437805764
168,-0.19504737440137362
169,0.1808294095613875
170,-0.1796644508187729
171,-0.15925551431765342
172,-0.564659702573282
173,-0.4209074691136979
174,-0.47586686726680205
175,-0.016087236302194673
176,0.12693956711548235
177,-0.1999278259825634
178,0.07372097807744855
179,0.16516802780306764
180,-0.34922418542695527
181,-0.20462588497754403
182,0.11796010029057151
183,0.13242873577296788
184,-0.027312095381617274
185,0.11261065411536268
186,0.1522773975253747
187,0.32358946974142283
188,0.34610932762158525
189,-0.6478722870404809
190,-0.016087236302194663
191,0.27031025295064476
192,0.20412414523192854
193,
194,0.23847191822497638
195,0.21408467611294957
196,0.38848388955202706
197,0.14312564351916782
198,-0.0150482316357224
199,-0.024573659359149493
200,0.17642698833636192
201,-0.01504823163571874
202,-0.14478512671975202
203,0.11261065411536268
204,0.05599137682953894
205,0.17201561551404657
206,-0.5308787979724242
207,-0.47586686726679794
208,-0.09100315103865986
209,0.03270314010604532
210,-0.10471965910558638
211,-0.306503016916444
212,0.2008752777048015
213,0.0420064257943719
214,-0.010213244318476207
215,-0.02566635011696627
216,0.18867944400978942
217,0.3235894697414253
218,-0.2413085445329204
219,-0.7186578032750796
220,0.06322974774186546
221,-0.02044652050273826
222,-0.05408201534198427
223,0.14116492564331887
224,-0.16683127576028678
