,Friedman_Stat
1728509,0.75
1728690,0.25
1728691,0.3333333333333144
1728872,1.3333333333333144
1768366,0.5833333333333144
2036670,0.5833333333333144
2192080,0.5833333333333144
2311113,3.25
2350973,0.25
2350975,4.333333333333314
2351156,0.5833333333333144
2351157,2.0833333333333144
2351158,2.25
2351339,1.0833333333333144
2360291,2.3333333333333144
2390286,2.5833333333333144
2390287,0.5833333333333144
2390467,2.3333333333333144
2390468,1.3333333333333144
2390469,8.583333333333314
2390470,3.5833333333333144
2390471,6.083333333333314
2390649,6.083333333333314
2390650,4.75
2390651,0.5833333333333144
2390652,7.75
2390653,5.083333333333314
2390833,1.5833333333333144
2390834,3.0
2390835,2.3333333333333144
2391016,3.0833333333333144
2408331,2.25
2430148,2.5833333333333144
2430329,2.5833333333333144
2430330,0.25
2443769,0.5833333333333144
2518629,3.5833333333333144
3113027,0.5833333333333144
3113209,0.5833333333333144
3147638,0.75
3153067,0.5833333333333144
3192568,1.0833333333333144
3192750,1.5833333333333144
3192932,1.3333333333333144
3193114,1.3333333333333144
3232426,1.5833333333333144
3232427,1.0833333333333144
3232608,2.25
3232609,1.0833333333333144
3232790,1.5833333333333144
3232791,1.0
3944053,1.5833333333333144
3987576,1.0833333333333144
3987758,0.3333333333333144
4027069,12.25
4027250,5.333333333333314
4027251,5.083333333333314
4027432,2.5833333333333144
4027433,0.0
4063080,0.3333333333333144
4102574,0.25
4238314,0.08333333333331439
4238315,0.08333333333331439
4238496,0.3333333333333144
4238497,0.5833333333333144
4252319,3.5833333333333144
4253255,1.0833333333333144
4253256,0.75
4253437,4.333333333333314
4277808,6.083333333333314
4277809,2.3333333333333144
4277810,2.0833333333333144
4277990,1.5833333333333144
4277991,2.25
4277992,1.0833333333333144
4292932,1.75
4293113,2.25
4293114,0.75
4293115,0.5833333333333144
4331308,7.583333333333314
4332789,1.0833333333333144
4332790,0.5833333333333144
4332791,0.3333333333333144
4332971,1.75
4332972,0.5833333333333144
4371000,2.0833333333333144
4738503,4.083333333333314
4860420,2.5833333333333144
4860602,3.25
4892070,4.75
4928627,3.0833333333333144
4972135,0.5833333333333144
4979563,1.0833333333333144
4980652,0.3333333333333144
5018695,3.25
5018876,3.0
5018877,1.5833333333333144
5057644,7.583333333333314
5057826,2.0833333333333144
5058007,1.5833333333333144
5058008,1.3333333333333144
5058189,1.5833333333333144
5096413,3.25
5096776,0.3333333333333144
5097139,0.25
5295946,0.5833333333333144
5335623,4.333333333333314
5335804,3.0
5335805,1.0
5375481,0.75
5375482,0.75
5415157,0.25
5415158,1.0833333333333144
5459871,2.3333333333333144
5459872,2.3333333333333144
5459873,4.75
5460055,2.25
5488465,1.5833333333333144
5535989,0.08333333333331439
5575665,1.5833333333333144
5890491,1.0833333333333144
