,Subject_23,Subject_25,Subject_26,Subject_27,Subject_28,Subject_29,Subject_30,Subject_31,Subject_32,Subject_33,Subject_34,Subject_35,Subject_36,Subject_37,Subject_38,Subject_39,Subject_40,Subject_41,Subject_42,Subject_43,Subject_44,Subject_45,Subject_46,Subject_47
1728509,0.3350202441215515,0.2472212314605713,0.3643612265586853,0.36594778299331665,0.3505454957485199,0.43549785017967224,0.32334908843040466,0.26899057626724243,0.32377076148986816,0.29882773756980896,0.2886265516281128,0.3084196448326111,0.27469077706336975,0.24015334248542786,0.25366175174713135,0.29947811365127563,0.22471177577972412,0.3328147828578949,0.2599886953830719,0.35836121439933777,0.26535242795944214,0.26148706674575806,0.3463231027126312,0.3759791851043701
1728690,0.30979928374290466,0.2897299528121948,0.36750760674476624,0.36915305256843567,0.29097917675971985,0.43771684169769287,0.3723098039627075,0.28159353137016296,0.3429591655731201,0.3480772376060486,0.38841065764427185,0.30884304642677307,0.31977957487106323,0.23024685680866241,0.2871009111404419,0.26716211438179016,0.23616333305835724,0.35142120718955994,0.24357794225215912,0.34809258580207825,0.3276621997356415,0.22913728654384613,0.3663863241672516,0.46738573908805847
1728691,0.3273824155330658,0.29800793528556824,0.36544132232666016,0.36580440402030945,0.3051648736000061,0.41490843892097473,0.35023701190948486,0.27890682220458984,0.3294823169708252,0.3271082937717438,0.3677252531051636,0.3407043218612671,0.2843100428581238,0.23198029398918152,0.2920345962047577,0.2709391713142395,0.23433715105056763,0.369388222694397,0.25716301798820496,0.3689533472061157,0.265260249376297,0.21775710582733154,0.35399293899536133,0.42414847016334534
1728872,0.30800268054008484,0.3222543001174927,0.3524579405784607,0.37557917833328247,0.28287556767463684,0.4143371284008026,0.4019659757614136,0.2556590139865875,0.33781689405441284,0.3573354482650757,0.4371107816696167,0.34206944704055786,0.309770405292511,0.22120265662670135,0.3223285973072052,0.24778324365615845,0.2529941201210022,0.3437724709510803,0.25713345408439636,0.36486706137657166,0.32804086804389954,0.227667436003685,0.36242491006851196,0.5015279650688171
1768366,0.3103068470954895,0.29123395681381226,0.37327736616134644,0.34794044494628906,0.3086893558502197,0.40411025285720825,0.36536332964897156,0.23718787729740143,0.3721969425678253,0.32569360733032227,0.33971065282821655,0.3331470787525177,0.3297019302845001,0.29395630955696106,0.2750305235385895,0.29178667068481445,0.24224796891212463,0.33031660318374634,0.28444600105285645,0.3338456451892853,0.33666732907295227,0.2559886574745178,0.35435864329338074,0.4514561891555786
2036670,0.3638518452644348,0.44059982895851135,0.5024245977401733,0.5579326748847961,0.44436177611351013,0.4814364016056061,0.4044547975063324,0.49744030833244324,0.37940195202827454,0.48280593752861023,0.4185448884963989,0.48499351739883423,0.45028597116470337,0.4361458718776703,0.42728933691978455,0.488847941160202,0.45574238896369934,0.4039514660835266,0.400657057762146,0.40500354766845703,0.5176304578781128,0.43019887804985046,0.4161711037158966,0.4718305468559265
2192080,0.44913995265960693,0.560516893863678,0.5806068778038025,0.5029001832008362,0.3731329143047333,0.45444756746292114,0.36850857734680176,0.4670637249946594,0.3781048357486725,0.5193632245063782,0.3309130072593689,0.5119029879570007,0.5169574022293091,0.46563830971717834,0.4970510005950928,0.44216254353523254,0.5538015961647034,0.5160749554634094,0.4888014495372772,0.49699676036834717,0.4894925057888031,0.44038403034210205,0.45672959089279175,0.49137547612190247
2311113,0.5626401901245117,0.576394259929657,0.5734269022941589,0.5954968333244324,0.3590136468410492,0.4666217565536499,0.40946072340011597,0.4924309253692627,0.48187750577926636,0.5253117084503174,0.4537651538848877,0.48817840218544006,0.4513290524482727,0.6039373278617859,0.5092770457267761,0.5257768630981445,0.6460770964622498,0.5486565232276917,0.4379443824291229,0.44537225365638733,0.5249947309494019,0.587961733341217,0.5684457421302795,0.5146444439888
2350973,0.5626401901245117,0.5375497341156006,0.6484858393669128,0.6840301156044006,0.4029655456542969,0.4707212746143341,0.4742271900177002,0.5980456471443176,0.4311846196651459,0.595737099647522,0.5070023536682129,0.5624604225158691,0.5524459481239319,0.6895254254341125,0.5355681777000427,0.6505423784255981,0.6135184168815613,0.6088982820510864,0.5893793702125549,0.5784300565719604,0.6233487725257874,0.7002786993980408,0.6531887650489807,0.617072582244873
2350975,0.5839066505432129,0.4857441186904907,0.6165146231651306,0.6840301156044006,0.6530713438987732,0.4830044209957123,0.48146292567253113,0.5718222260475159,0.4431118369102478,0.5884707570075989,0.5025560259819031,0.614605724811554,0.5644224882125854,0.6176459789276123,0.5339276194572449,0.649900496006012,0.5941523909568787,0.6539331078529358,0.610034167766571,0.5794888138771057,0.6288673877716064,0.6732966303825378,0.6253272294998169,0.6202801465988159
2351156,0.6426697969436646,0.5897198915481567,0.6026249527931213,0.7436246871948242,0.5705200433731079,0.5001090168952942,0.48237141966819763,0.5695773959159851,0.4373472034931183,0.5936096906661987,0.49659788608551025,0.5903125405311584,0.5460497140884399,0.6715649962425232,0.5197129249572754,0.6555336713790894,0.5882132053375244,0.6388052701950073,0.6135213375091553,0.5728039741516113,0.6083884835243225,0.6770350933074951,0.6153483986854553,0.6177316904067993
2351157,0.5823012590408325,0.5306698679924011,0.590980052947998,0.7326943278312683,0.6159887313842773,0.5001090168952942,0.48237141966819763,0.5684605240821838,0.45810696482658386,0.5917983651161194,0.47476717829704285,0.6145692467689514,0.565134584903717,0.6763746738433838,0.5147185921669006,0.6751041412353516,0.5820027589797974,0.6426291465759277,0.6235212087631226,0.5733440518379211,0.6134475469589233,0.6672845482826233,0.5909216403961182,0.6177316904067993
2351158,0.5194319486618042,0.5668727159500122,0.586078405380249,0.7436246871948242,0.6156545877456665,0.5347918272018433,0.49071335792541504,0.5736202597618103,0.4621615707874298,0.5894513726234436,0.5010640025138855,0.6246419548988342,0.5781223773956299,0.6715649962425232,0.5448593497276306,0.682410478591919,0.5842908024787903,0.6340392231941223,0.6309346556663513,0.5707533359527588,0.622469425201416,0.6612856388092041,0.5759850144386292,0.6264120936393738
2351339,0.5605042576789856,0.5713970065116882,0.5848051309585571,0.7443728446960449,0.5297785401344299,0.5175384283065796,0.47881880402565,0.5431522130966187,0.4547942876815796,0.6054003834724426,0.49126410484313965,0.6099843382835388,0.5444644689559937,0.722893476486206,0.5273600220680237,0.6934162378311157,0.5836998224258423,0.6175242066383362,0.620633065700531,0.5434372425079346,0.5834081768989563,0.6888163089752197,0.5915929675102234,0.6065998673439026
2360291,0.4247298836708069,0.5247419476509094,0.4386448860168457,0.4890862703323364,0.515971839427948,0.42692580819129944,0.5384702682495117,0.46893665194511414,0.479653000831604,0.3525714576244354,0.5598054528236389,0.4370895028114319,0.42591726779937744,0.559092104434967,0.48162731528282166,0.5109856128692627,0.5244647264480591,0.4379638433456421,0.4472052752971649,0.5014438033103943,0.4812764525413513,0.3927251696586609,0.5130223631858826,0.4510936439037323
