,Friedman_Stat
1963300,0.25
1963481,2.3333333333333144
1964386,1.0833333333333144
1964567,2.25
2002613,0.5833333333333144
2002794,0.75
2002975,1.75
2002976,3.0
2003880,5.083333333333314
2003882,1.5833333333333144
2004061,1.0833333333333144
2004063,2.3333333333333144
2004243,3.25
2004244,4.0
2042108,2.5833333333333144
2042109,3.0833333333333144
2042289,0.3333333333333144
2042290,1.5833333333333144
2042470,2.5833333333333144
2042471,1.0833333333333144
2042651,0.75
2042652,3.0833333333333144
2042834,1.0833333333333144
2043557,1.5833333333333144
2043559,0.25
2043738,3.5833333333333144
2043739,4.083333333333314
2043740,1.75
2043921,4.083333333333314
2074911,0.75
2074912,0.3333333333333144
2074913,4.083333333333314
2075092,1.75
2075093,0.25
2075094,0.25
2075274,1.0833333333333144
2075275,0.75
2081784,4.75
2081785,7.583333333333314
2081966,9.0
2081967,5.083333333333314
2082147,0.08333333333331439
2082148,3.0
2082328,2.3333333333333144
2082329,0.25
2082510,0.5833333333333144
2082511,0.75
2082692,0.75
2114406,1.5833333333333144
2114586,1.0833333333333144
2114587,0.25
2114767,1.0833333333333144
2114768,6.583333333333314
2114769,0.3333333333333144
2114949,3.25
2114950,0.25
2121461,1.5833333333333144
2121642,4.0
2121643,1.75
2121823,0.08333333333331439
2121824,1.5833333333333144
2122005,0.25
2161502,1.5833333333333144
2201177,0.75
2201178,0.75
2201359,0.3333333333333144
2201360,0.5833333333333144
2201541,0.0
2240854,0.75
2241035,2.0833333333333144
2241036,2.3333333333333144
2241037,5.25
2241217,1.0833333333333144
2241218,1.5833333333333144
2241399,1.0833333333333144
2241400,1.0
2280713,5.583333333333314
2280894,6.083333333333314
2280895,0.5833333333333144
2281076,2.0833333333333144
2281077,1.5833333333333144
2311113,3.25
2350970,6.583333333333314
2350971,0.25
2350972,0.3333333333333144
2350973,0.25
2350975,4.333333333333314
2351153,1.5833333333333144
2351155,1.0833333333333144
2351156,0.5833333333333144
2351157,2.0833333333333144
2351158,2.25
2351337,0.25
2351338,1.3333333333333144
2351339,1.0833333333333144
2351340,5.25
2351520,1.0833333333333144
2351521,3.0833333333333144
2390283,3.0833333333333144
2390284,6.333333333333314
2390285,4.083333333333314
2390286,2.5833333333333144
2390287,0.5833333333333144
2390288,0.08333333333331439
2390465,1.0
2390467,2.3333333333333144
2390468,1.3333333333333144
2390469,8.583333333333314
2390470,3.5833333333333144
2390471,6.083333333333314
2390648,2.5833333333333144
2390649,6.083333333333314
2390650,4.75
2390651,0.5833333333333144
2390652,7.75
2390653,5.083333333333314
2390833,1.5833333333333144
2390834,3.0
2390835,2.3333333333333144
2391016,3.0833333333333144
2429961,4.75
2429962,1.75
2429963,0.25
2429966,3.0833333333333144
2430146,2.0833333333333144
2430147,3.5833333333333144
2430148,2.5833333333333144
2430329,2.5833333333333144
2430330,0.25
2430331,1.0833333333333144
2469643,2.5833333333333144
2469824,2.3333333333333144
2599750,2.3333333333333144
2639426,2.0833333333333144
2639608,0.75
2679466,0.5833333333333144
2679648,0.25
2716243,1.0833333333333144
2716425,3.25
2719142,1.75
2719324,0.3333333333333144
2719506,0.25
2725699,2.5833333333333144
2725879,1.0833333333333144
2725880,1.5833333333333144
2725881,4.0
2726061,1.0
2726062,2.5833333333333144
2726063,4.75
2726243,2.5833333333333144
2755919,0.08333333333331439
2756103,0.25
2759000,2.25
2759182,1.0833333333333144
2759364,0.3333333333333144
2765372,0.25
2765373,1.0
2765553,0.25
2765554,1.0833333333333144
2765555,1.0833333333333144
2765736,0.25
2765737,2.5833333333333144
2795778,1.3333333333333144
2798858,0.75
2799040,0.3333333333333144
2799222,0.08333333333331439
2805594,3.5833333333333144
2838534,1.0833333333333144
2838716,1.0833333333333144
2838898,0.25
2839080,0.75
2878756,1.0833333333333144
2878938,0.5833333333333144
2918249,0.5833333333333144
2918431,0.3333333333333144
2957925,0.08333333333331439
2958107,1.5833333333333144
2997783,1.3333333333333144
3153073,3.0
3184312,1.75
3184494,2.3333333333333144
3192567,2.5833333333333144
3192568,1.0833333333333144
3192749,3.0833333333333144
3192750,1.5833333333333144
3192931,3.0
3192932,1.3333333333333144
3193113,1.0833333333333144
3193114,1.3333333333333144
3223806,2.5833333333333144
3223807,5.083333333333314
3223988,4.75
3223989,7.75
3224171,3.0
3224172,8.083333333333314
3232426,1.5833333333333144
3232427,1.0833333333333144
3232608,2.25
3232609,1.0833333333333144
3232790,1.5833333333333144
3232791,1.0
3263302,5.333333333333314
3263483,12.333333333333314
3263484,5.583333333333314
3263665,7.583333333333314
3263666,7.0
3263848,10.583333333333314
3264031,11.583333333333314
3303160,10.083333333333314
3303342,4.333333333333314
3303524,4.083333333333314
3904559,1.5833333333333144
3944053,1.5833333333333144
3983547,0.5833333333333144
3983728,1.0
3987394,7.583333333333314
3987576,1.0833333333333144
3987758,0.3333333333333144
4023222,0.5833333333333144
4027068,6.25
4027069,12.25
4027070,4.083333333333314
4027250,5.333333333333314
4027251,5.083333333333314
4027432,2.5833333333333144
4027433,0.0
4027614,1.0
4027615,0.75
4063079,0.25
4063080,0.3333333333333144
4066743,1.0833333333333144
4066744,3.5833333333333144
4066926,4.083333333333314
4067108,5.333333333333314
4102392,0.25
4102573,0.5833333333333144
4102574,0.25
4102755,1.5833333333333144
4141886,3.5833333333333144
4141887,3.0
4142068,4.083333333333314
4142249,3.5833333333333144
4142250,2.3333333333333144
4142430,0.3333333333333144
4181339,1.3333333333333144
4181520,0.08333333333331439
4181562,13.083333333333314
4181743,1.0
4181744,4.333333333333314
4181925,7.0
4199002,0.3333333333333144
4199003,0.08333333333331439
4199004,0.5833333333333144
4220833,1.3333333333333144
4221014,0.08333333333331439
4221015,1.0833333333333144
4221196,0.75
4221237,7.0
4238314,0.08333333333331439
4238315,0.08333333333331439
4238316,1.0833333333333144
4238495,2.3333333333333144
4238496,0.3333333333333144
4238497,0.5833333333333144
4238498,0.25
4238678,1.3333333333333144
4238679,5.25
4252136,1.75
4252318,2.25
4252319,3.5833333333333144
