,subject,slope
0,sub-pl007,-0.08189906459797763
1,sub-pl010,0.013196927530762792
2,sub-pl012,-0.16741490294459108
3,sub-pl013,0.022458750946517118
4,sub-pl014,0.15988522409368622
5,sub-pl016,-0.02137688310995226
6,sub-pl017,-0.06738483166387897
7,sub-pl019,-0.11534512097386825
8,sub-pl027,-0.060509622205879195
9,sub-pl030,0.015860355025310868
10,sub-pl031,-0.09722822448976014
11,sub-pl032,0.19998620131705522
12,sub-pl034,0.06767157547483361
13,sub-pl035,-0.007410779100961
14,sub-pl036,-0.09258385813038379
15,sub-pl038,-0.08341204187520489
16,sub-pl042,0.0883944042902586
17,sub-pl047,0.2727634141054248
18,sub-pl049,-0.12179136906974224
19,sub-pl050,0.09921235262562854
20,sub-pl055,-0.05124493631184086
21,sub-pl056,-0.05154314629589411
22,sub-pl063,0.1528066251644836
23,sub-pl064,0.06820471395123584
