roi,statistic,p_value
CG_L_7_1,3.3913043478260647,0.18347952943681112
CG_R_7_1,5.47826086956519,0.06462651944020957
CG_L_7_2,3.2173913043478137,0.20014850716070218
CG_R_7_2,1.3913043478260647,0.49874907076230013
CG_L_7_3,3.3913043478260647,0.18347952943681112
CG_R_7_3,6.869565217391312,0.03223241651740532
CG_L_7_4,7.9130434782608745,0.019129536225544967
CG_R_7_4,0.6086956521738784,0.7376042638218393
CG_L_7_5,2.173913043478251,0.33724132002352547
CG_R_7_5,1.1304347826086882,0.5682366036329867
CG_L_7_6,5.826086956521749,0.05431018621163179
CG_R_7_6,5.47826086956519,0.06462651944020957
CG_L_7_7,1.0434782608695627,0.5934874977560287
CG_R_7_7,0.6086956521738784,0.7376042638218393
Tha_L,3.2173913043478137,0.20014850716070218
Hipp_L,1.3913043478260647,0.49874907076230013
Amyg_L,1.3913043478260647,0.49874907076230013
Accum_L,1.1304347826086882,0.5682366036329867
Tha_R,2.4347826086956275,0.296001338014862
Hipp_R,0.7826086956521863,0.6761743325317434
Amyg_R,0.08695652173912549,0.9574533680683832
