,subject,slope
0,sub-pl007,-0.04301854482966113
1,sub-pl008,-0.06604437530513045
2,sub-pl010,-0.0723492791062747
3,sub-pl012,0.027103605301661126
4,sub-pl013,0.07185263626299801
5,sub-pl014,-0.04476170531835929
6,sub-pl016,-0.022560120866634163
7,sub-pl017,-0.07626337943020722
8,sub-pl019,-0.02250215624405473
9,sub-pl027,0.002002751011028118
10,sub-pl030,-0.06518897972962322
11,sub-pl031,-0.0802640249073216
12,sub-pl032,-0.03321602151908964
13,sub-pl034,0.014821227100404911
14,sub-pl035,-0.00671375179142016
15,sub-pl036,0.08553116765640903
16,sub-pl037,0.14647638414727365
17,sub-pl038,-0.024901113074463996
18,sub-pl039,0.00795930861631478
19,sub-pl042,0.006466092500519693
20,sub-pl047,0.04992882036020733
21,sub-pl049,0.03328724501891126
22,sub-pl050,0.009204461033241157
23,sub-pl055,-0.036311111606280415
24,sub-pl056,-0.09956344833181115
25,sub-pl063,0.01989478770220341
26,sub-pl064,-0.025822477376559107
