,subject,slope
0,sub-pl007,0.003015220994493646
1,sub-pl010,0.0014989887873645674
2,sub-pl012,-0.036500448097590094
3,sub-pl013,0.008942226413710137
4,sub-pl014,0.009993708711315663
5,sub-pl016,-0.007491805009035121
6,sub-pl017,0.0008119775353485882
7,sub-pl019,0.0050015711838543135
8,sub-pl027,0.0006543711927859226
9,sub-pl030,-0.03307801939510986
10,sub-pl031,-0.010601776500973995
11,sub-pl032,0.007627286727671453
12,sub-pl034,0.012798169510121195
13,sub-pl035,0.008854160085277967
14,sub-pl036,0.0075629923207119355
15,sub-pl038,0.0021718076443628174
16,sub-pl042,-0.006067524009319576
17,sub-pl047,-0.003069785378460501
18,sub-pl049,0.007050494459014643
19,sub-pl050,0.010338040979698841
20,sub-pl055,0.005357115852519966
21,sub-pl056,-0.004367178474494043
22,sub-pl063,0.004553265674502321
23,sub-pl064,-0.0013758896952537712
