,subject,slope
0,sub-pl007,-0.002167003381170072
1,sub-pl008,0.005398315111498274
2,sub-pl010,0.007792769834132629
3,sub-pl012,-0.06429277591316247
4,sub-pl013,0.009290533502489727
5,sub-pl014,0.008361056669262651
6,sub-pl016,0.0077162696832497445
7,sub-pl017,-0.009903354354026589
8,sub-pl019,0.0009837099759065389
9,sub-pl027,0.010339131999234433
10,sub-pl030,-0.03262881703308647
11,sub-pl031,-0.004014482024991791
12,sub-pl032,-0.0006074931624575103
13,sub-pl034,-0.002934190608595597
14,sub-pl035,0.013397498745602424
15,sub-pl036,0.006958918189509166
16,sub-pl037,0.0107227256129472
17,sub-pl038,-0.0011621192563584354
18,sub-pl039,0.014963019690455787
19,sub-pl042,0.002067279970197714
20,sub-pl047,0.00526389341780406
21,sub-pl049,0.008424988938214781
22,sub-pl050,0.006797721443005938
23,sub-pl055,0.013554870484561502
24,sub-pl056,0.000652573608513472
25,sub-pl063,-0.003606845506715841
26,sub-pl064,0.007984020211339848
