,subject,slope
0,sub-pl007,-0.08632832884737532
1,sub-pl010,-0.026513391504350364
2,sub-pl012,-0.10296806331105147
3,sub-pl013,0.03856869781646828
4,sub-pl014,0.22446945187748563
5,sub-pl016,-0.0667583977622015
6,sub-pl017,-0.18651574293159115
7,sub-pl019,-0.10585481793546307
8,sub-pl027,-0.02019460641955866
9,sub-pl030,-0.046067684658841646
10,sub-pl031,-0.03638980142660955
11,sub-pl032,0.19151450662095348
12,sub-pl034,0.07751928276579459
13,sub-pl035,-0.038241825235624215
14,sub-pl036,-0.012416211106764179
15,sub-pl038,-0.03970225125145812
16,sub-pl042,0.03235147152203011
17,sub-pl047,0.24499583703420727
18,sub-pl049,-0.06499029931835158
19,sub-pl050,0.12883491601532338
20,sub-pl055,-0.012410831877856495
21,sub-pl056,-0.08329181177172806
22,sub-pl063,0.1371776340077347
23,sub-pl064,0.025108710617030287
