,subject,slope
0,sub-pl007,-0.04861300809179244
1,sub-pl010,0.019367017317730436
2,sub-pl012,-0.07632608517571503
3,sub-pl013,0.018537753365646715
4,sub-pl014,0.29613682106455863
5,sub-pl017,-0.07315775358791982
6,sub-pl019,-0.1407876212950248
7,sub-pl027,-0.07285724282028799
8,sub-pl030,-0.0445017036637321
9,sub-pl031,-0.041688235782763726
10,sub-pl032,0.1733497604889691
11,sub-pl034,0.06822045747275539
12,sub-pl035,-0.03884574395027489
13,sub-pl036,-0.18410941637812983
14,sub-pl038,-0.060410051559493014
15,sub-pl042,0.020164289157319076
16,sub-pl047,0.2665377427743509
17,sub-pl049,-0.14324359917749974
18,sub-pl050,0.1138276309117696
19,sub-pl055,-0.14275951475062826
20,sub-pl056,-0.08277510947874082
21,sub-pl063,0.17348452724813768
22,sub-pl064,-0.10862099044845136
