,subject,slope
0,sub-pl002,-0.09216937246481427
1,sub-pl004,-0.028175288645155772
2,sub-pl006,0.12916405816923496
3,sub-pl015,0.13323785798684573
4,sub-pl021,-0.03724429216116821
5,sub-pl022,0.17169870793630782
6,sub-pl023,0.04874798494259492
7,sub-pl024,-0.12242351239966597
8,sub-pl025,-0.09861047570947146
9,sub-pl029,-0.20036230291680843
10,sub-pl040,0.2622267065261008
11,sub-pl041,-0.0003155121042787441
12,sub-pl046,-0.03644682980428716
13,sub-pl048,0.06924051990225877
14,sub-pl051,0.11017233182461786
15,sub-pl052,0.09062675591143798
16,sub-pl053,-0.07596796058908992
17,sub-pl054,0.1077454888840305
18,sub-pl057,-0.08519567134808893
19,sub-pl058,0.013425843621195211
20,sub-pl059,-0.1406200534812041
21,sub-pl060,-0.02146862359092546
22,sub-pl061,-0.1804753773973262
23,sub-pl062,0.007508345293824476
24,sub-pl065,-0.02431932838616369
