roi,centrality
0,-0.0015772876749800527
1,-0.09131323444543057
2,0.11032644427426114
3,0.15617218978530933
4,-0.022066013188391846
5,0.32536288194395135
6,0.1790223135682729
7,0.2591636614305787
8,0.24354930998279364
9,-0.33319415857952034
10,0.40479579384869063
11,-0.14500377089757208
12,0.22073980003585783
13,0.09802849378291276
14,0.2066096970138126
15,0.24531667782144492
16,0.1439754603150497
17,0.1719258218409988
18,-0.009761047314735764
19,0.48185896571354614
20,0.46771640207785725
21,0.6886665709347944
22,0.0002543748685273237
23,0.5029250533179997
24,-0.04099925324363848
25,0.3629236939932608
26,0.3044633244786868
27,0.21897181598939486
28,-0.09465946344173261
29,-0.3988695632541632
30,-0.26838364154095085
31,0.19723783176503312
32,0.193712083661562
33,-0.22248488835349975
34,0.07031845839997014
35,0.30235052936485324
36,0.5209740265871099
37,0.1324624184503509
38,-0.08506535045166569
39,0.040557451350385236
40,0.11046397827658841
41,0.676628663398838
42,0.18685832073110337
43,0.6372021361741003
44,0.4995040382775837
45,0.5444975656368177
46,0.10611653505724472
47,0.40561267917002525
48,0.4242707307830131
49,0.6138915643736449
50,0.6101304875702049
51,0.8294581630816142
52,0.3607702320388103
53,0.04937609895230112
54,0.05048784972070894
55,0.21025409409940304
56,0.16376962378781895
57,-0.2071330086800931
58,0.8495545248109926
59,0.37564619558430223
60,-0.21173250485403974
61,-0.09144888011545584
62,0.19277146960578903
63,-0.15706081334810454
64,0.5197672394587206
65,0.10602049190759465
66,0.4113921698978664
67,0.19790874897860627
68,-0.14615883802257643
69,0.4056989644089086
70,0.11780083531612372
71,-0.014284505270865555
72,0.00011840845461912824
73,0.021911023845010837
74,-0.07147636413613766
75,0.18092892019982904
76,-0.007720885748094951
77,0.037345552463354456
78,-0.5955920666380239
79,-0.019475732165725266
80,-0.40639743963771563
81,-0.2522872800923161
82,0.0158356995957488
83,0.10505640925506497
84,-0.1832174700038183
85,0.17662830726522905
86,-0.006488084462873928
87,-0.03346582405249363
88,-0.1011106908847375
89,0.13134435276453704
90,-0.5181329672135719
91,0.09448354588704515
92,0.20174578989793443
93,-0.0311559758568277
94,-0.052188003735141195
95,0.2660662572824749
96,-0.1725720474061827
97,0.14658489307674039
98,0.013877711304648465
99,-0.08626419877230396
100,-0.04836537302851247
101,0.02814140120375918
102,0.03518772938446262
103,0.010882638653243307
104,0.1503189144780264
105,0.33270788613391933
106,-0.1531808010150401
107,-0.2825545557024162
108,-0.08690130742388022
109,-0.4275939077067888
110,0.279354055265767
111,0.09007214223374363
112,0.44011533074677806
113,0.018164381565091606
114,-0.3537892279082213
115,
116,
117,
118,0.2945113127196789
119,-0.015466433307593078
120,-0.04743356109465838
121,0.11978936395845803
122,-0.12489008736532367
123,0.04951984154897202
124,0.12345525565585948
125,0.21098541702317622
126,-0.05659658006238714
127,0.11609952906069661
128,0.1733822922379169
129,0.10360792050503875
130,0.2837727284604421
131,0.1218129792319219
132,0.021094425830731085
133,-0.08002885991444458
134,0.390370293628578
135,0.16328588875661604
136,0.4930440175416333
137,0.02415641542666252
138,0.029132259466764537
139,0.31141869972639463
140,0.23149512248244816
141,0.267898156594984
142,-0.0807090163031637
143,-0.022459712104699676
144,0.08605897591090221
145,0.1538538192517571
146,0.3668661444887062
147,-0.22933433823213947
148,0.19693562231455622
149,-0.08890893463758295
150,0.18948619190473698
151,0.13401343309321437
152,0.24099949366037102
153,-0.19947117010669319
154,0.17958208014067403
155,0.25203993153343063
156,0.14147464404254737
157,0.3131546309072118
158,0.02351418441590471
159,-0.31029670023383116
160,0.09845701563906434
161,-0.16953384482004732
162,0.20797350452371216
163,-0.02764210305926014
164,0.13965240376867566
165,0.9747212485859656
166,0.24689578741751766
167,0.5434784149153632
168,0.23886562930487773
169,0.26491307515008305
170,0.023709831174715177
171,0.012839222035949623
172,0.3163144215335831
173,0.7511809125722023
174,-0.08451671678605488
175,-0.13217429179840068
176,0.08491651897281628
177,0.1279686879311541
178,0.011400751594847706
179,0.3113645139239167
180,0.36996130370470354
181,0.017288275248078685
182,-0.1534951601879855
183,0.40825602913947445
184,0.14327170421520496
185,0.531750924767105
186,0.3511977304010824
187,0.30951081496300104
188,-0.0807214580521111
189,0.07174587286272044
190,-0.02864648430828193
191,0.13104270626205938
192,0.26793528752892837
193,0.2202669413459336
194,0.043728945785753384
195,0.1037579598583372
196,0.32709570367504875
197,0.413697896961499
198,0.26637732620438154
199,0.09416648645649862
200,-0.10315316547970907
201,0.33610802038000137
202,0.21757210476391686
203,0.12061205748633853
204,0.10687090101391501
205,-0.0826295649108666
206,0.2624212165031623
207,0.46625431094221875
208,0.009771761927745391
209,-0.14441678439568867
210,-0.014304128010862381
211,0.03150568233767406
212,0.11083500123017388
213,-0.26036503151725776
214,-0.1628378648765169
215,0.23442217403876434
216,-0.07729566411625598
217,0.5453631977500623
218,0.18084340599581428
219,0.3067729299618492
220,0.05398633401274033
221,0.03196996463545551
222,-0.09973185777201694
223,-0.08576561620913872
224,0.9367663820428946
