,Age,BECK,PCS,STAI,meanBPI,POQ,Sex
CG_L_7_1,-0.042873698666376754,-0.07113598770851605,0.2877109759157369,-0.2019986137817569,0.563856281951611,0.5328878140734123,0.7915378176635975
CG_R_7_1,-0.17121483617525896,-0.7706823214682947,-0.5162241510509369,-0.8059100021991361,0.10583295852172166,0.12321570376972453,0.013470511003014897
CG_L_7_2,-0.26064181400817354,0.10828140724309725,0.22015617823593273,-0.08676169425372675,0.554414318978457,0.37885845272184415,0.7434854910880971
CG_R_7_2,0.2043018803506646,0.317763445412577,0.3199466793074859,0.1682503942133633,0.7053525697827143,0.9222061420807003,0.40627351424296165
CG_L_7_3,-0.46312561312208794,0.1065190044771089,0.3920575337840748,-0.16550385862864175,0.6940234767693139,0.9012112370992577,-0.16887142292062565
CG_R_7_3,0.3696079458039624,-0.5105245379703071,-0.25522369448446763,-0.8161813273764895,0.2181585961408863,-0.3807365417743463,0.9309971685779739
CG_L_7_4,-0.2919106617504892,-0.15695101936407443,0.17308298579553072,-0.2962449748361663,0.4963667460192992,0.7099571601915523,0.5479216445193068
CG_R_7_4,-0.6129947856529264,-0.8607139010279715,-0.3015922897808361,-0.6892507931906746,0.38933832405483954,0.31088643171012015,0.30627432141143474
CG_L_7_5,0.017789814796216052,0.4792160216143876,0.461489218606283,0.4034766004044127,-0.2940180594401051,-0.48391077739894484,-0.9039661626873438
CG_R_7_5,-0.03371188675985726,0.001153893748625095,0.0380556074568006,0.2378059267870372,-0.5427077867027731,-0.647914800718694,-0.6937280255990016
CG_L_7_6,-0.43138927810391625,-0.16468708616994077,0.033406232224407355,-0.34082299256916787,0.44064445642033473,0.6025244319312085,0.4470089450975748
CG_R_7_6,-0.09718899095855936,0.010374330358451023,-0.17067444296565035,0.15734584809744942,-0.6251165009993264,-0.7503803315027177,-0.6266516851220933
CG_L_7_7,-0.03203762563295651,-0.3778935253659674,-0.06382804052057725,-0.5600571161216042,0.18577255694486738,0.20087813232696966,0.785662535414398
CG_R_7_7,-0.35232021997785057,-0.3600342493034637,0.15191868618914733,-0.3160087287889729,0.5993171609010207,0.629833276415495,0.8933773529764579
Tha_L,0.0451086485040111,-0.6543571860280467,-0.21613978204266274,-0.9247352287563254,0.26847915293001795,0.21814026603574285,0.3809508648864528
Hipp_L,0.4363673602157858,-0.5674088572893589,0.12287707172766477,-0.45673516590335717,1.0475755717084556,0.27714396919827744,-0.07575051758420237
Amyg_L,-0.07570162496456062,-0.4184214404431391,0.3154265776190476,-0.5086954120133255,0.38969817244675664,0.1389938152823739,0.9154983259319486
Accum_L,-0.6253104400309983,0.013893426954307118,-0.2585742846674133,-0.029448979305419773,0.35308178944142954,0.757023923367938,0.3186034147779603
Tha_R,0.007080898340368214,-0.2566126824796398,-0.10386889041774407,-0.4534319989750925,0.14784655869577554,0.17857927793276004,0.8830479449770057
Hipp_R,-0.24208656637559078,-0.17481571980754562,0.180095899156229,-0.24246825852543244,0.25317463389417966,0.7578647503444444,0.9551057430572713
Amyg_R,-0.8811968659910918,0.9005515191867084,0.41107701217689596,1.34851995191522,0.5120998342394079,0.8072316017939097,-0.07825064978234901
Accum_R,0.578305553710334,-0.215251054887949,0.29753009948872,-0.09078722737942296,-0.19639532167957813,-0.8521634519589092,-0.33700055204542767
