,Age,BECK,PCS,STAI,meanBPI,POQ,Sex
CG_L_7_1,-0.2738604512383556,-0.539336743652934,-0.06990665187810527,-0.4725096247389205,0.2580679837148088,0.3586887320566981,0.8649222598920582
CG_R_7_1,-0.5501702197662826,-0.2209534790135775,-0.17701907901206357,-0.10408679526707063,0.4979715884529967,0.014313097567141405,0.6466794053231545
CG_L_7_2,0.33507520967355336,0.12873603528335514,0.04890834026717873,-0.027816022370971267,-0.2147497382710504,-0.4104572272504181,-0.9504940740399771
CG_R_7_2,-0.1301813020939066,0.1513319166012836,-0.22590791078218225,0.01648219757363663,-0.30882637434932814,-0.7412055377692287,-0.8214551659744713
CG_L_7_3,0.2921013870820404,-0.3532451021940683,0.6930177492562051,-0.44769266612896597,0.6079504062968628,0.878511847661996,-0.22382708907611765
CG_R_7_3,-0.24436933848627684,1.3183483737637445,0.014814162636178201,1.1397467464440771,-0.37189800204298334,0.19442206151540822,-0.4319293214636488
CG_L_7_4,-0.44196350954762953,-0.6562158235502439,-0.2995089482356824,-0.42044158984237573,0.17595432099642497,0.04927208933052186,1.101350670162821
CG_R_7_4,-0.47271825600553147,-0.36367951172498675,-0.25460001012787303,-0.24427571007254312,0.33858155440390664,-0.007325853339528065,0.7544373735325577
CG_L_7_5,0.05616807370875544,0.44850083511510946,0.330938674505097,0.43246848755665024,0.2912641149703514,-0.32998254805786836,-1.0488327742691126
CG_R_7_5,0.22775947485481493,0.5576713393645846,0.34173352503494764,0.5074826960669861,0.06414936155174669,-0.6992737036984912,-1.002164087390958
CG_L_7_6,-0.8116224546978531,0.05920083738060496,-0.19071559296597737,0.12539246898919099,0.45595504256194536,-0.30852953303851005,-0.5361716997634275
CG_R_7_6,-0.1549952470541469,-0.5557039309154198,-0.5620824606066561,-0.4289713561221675,-0.25286027903352615,-0.3638166762415121,-0.6785101805587579
CG_L_7_7,-0.41520859694814083,-0.6347368591364783,-0.3883570338957075,-0.5600854434662246,0.3252647224631605,0.1978829835538353,0.8231775003974565
CG_R_7_7,0.302206319809334,0.7955021045822633,0.4831046267366293,0.520427938912015,-0.1882674690796516,-0.3825026056598686,0.03683040725674864
Tha_L,0.12430249891010929,-0.6290550003673354,-0.18763446537163134,-0.631173923352094,0.00974534922139374,-0.04240047271915044,0.8963237521263457
Hipp_L,-0.08435996171774537,-0.6238775081318273,-0.6079762017690549,-0.37437321504430215,-0.07584253679379298,0.4176294138580153,0.5991708873361514
Amyg_L,-0.19127165544579636,-0.7770692687035363,0.02351345988261078,-0.8469580033960488,0.06172802028276252,0.33100715622095106,0.7203072543700658
Accum_L,-0.7623886198757278,0.034713259417187205,0.019417300388158282,0.11238813324751441,0.10582466310951047,0.4925126084337226,0.8585168273733474
Tha_R,-0.1210484567423676,-0.08226724776019101,-0.13444019411067704,-0.4737974888059263,0.3825471683811866,0.4376742360958186,1.7588899456461307
Hipp_R,0.21155959440209193,-0.7626658842103478,-0.6958554506115969,-0.637908218713375,-0.439749226318441,0.2029789470033767,0.5751282002944399
Amyg_R,-0.2818844239699907,-0.6156773850930244,-0.5918123469057197,-0.49463115039775946,0.08220645616116314,0.46742270152554566,0.98653847904182
Accum_R,-0.8401400907664793,-0.49825045004357554,-0.80657350488495,-0.33209654104740216,-0.45718494433000256,0.12896586377430933,0.6179379327126165
