,Age,BECK,PCS,STAI,meanBPI,POQ,Sex
CG_L_7_1,-0.6219404301241378,-0.30343131935437656,-0.04831692792603865,-0.6095900918081179,0.03679351219780449,0.46773946553881235,0.9741452060246145
CG_R_7_1,-0.024355043124822607,0.8638062542650196,0.19122027612107187,0.7229519850158947,-1.176338318344531,0.2088861461319087,1.2513447463630258
CG_L_7_2,-0.7087946514485336,0.5793662316060165,1.0038511220731405,0.042962218417582916,0.40029541436168303,0.5853004819323453,0.06447862261571148
CG_R_7_2,0.5482127372574158,0.6303379951836768,0.48093293437551893,0.10581184621380176,-0.3408066102853159,0.7121022552427474,0.6438961406983076
CG_L_7_3,-0.6060674790531592,0.0594137674619186,0.3805417515619101,-0.14588487125392424,0.3871918884438942,0.6436038366531844,0.5829094636207541
CG_R_7_3,-0.40951491620403535,0.24823120177301242,0.30946671097362105,0.9214476110612773,-0.7085554685511137,0.01153513066887022,-0.2806948309891449
CG_L_7_4,-0.6124140503128155,-0.02239474236974152,0.006428044877036758,-0.33678657054380967,0.030989711207038112,0.19761899675234754,1.2535208638859645
CG_R_7_4,-0.03468722133324922,-0.2539172384424266,-0.2901376116204562,0.20213826441442537,-0.11019553890439013,-0.7047983914163469,-1.0086029329759016
CG_L_7_5,-0.04670411267436323,-0.46328567346067107,-0.3734912602393747,-0.2479151619227836,0.3430584937347468,0.2802430576941262,0.8721212574959418
CG_R_7_5,-0.3534092488775399,-0.4578856069615835,-0.2172064252265081,-0.5573192428648968,0.08459908452411641,0.44767971796690614,0.9881515527477608
CG_L_7_6,-1.0217673417049182,-0.29720007169516294,0.3090130226909689,0.09640096685351159,-0.16920099078913986,0.33339736248470786,0.5579573398575834
CG_R_7_6,-0.1589634273050336,-0.15508540244673813,-0.060753513796055064,0.13933551612786815,0.10117287881406645,-0.506159607147385,-1.2260258739169925
CG_L_7_7,0.3310108365209353,-0.34690840227940434,-0.5541148835857734,-0.711809840957476,0.5331419480493835,0.20613675555766925,1.130694301162592
CG_R_7_7,-0.6970853632525484,0.11035095604676566,0.3500924012172912,0.15388326071824432,0.5594068094663904,0.5653930532155221,0.48329804507458723
Tha_L,0.15130642894021526,-0.14998305233357706,-0.19988782812624267,-0.6718163851354819,-0.046767284802747694,0.29650693734087896,1.1767460999894612
Hipp_L,0.21130178484825382,0.2564708453906677,0.3862061872278259,0.562306771394451,-0.5079701959925835,0.4799105326855708,1.1548894207177105
Amyg_L,-0.19556772000835523,-0.22860276907847146,-0.00037663457575815213,0.4861563680774946,0.6609194600555721,0.601873465667483,0.43204437048932776
Accum_L,0.197434503754048,-0.6175850334955976,0.4379831502994868,-0.9750458278288688,1.1355275885059977,0.3483914606545482,-0.6851037129214306
Tha_R,-0.2612891291388309,-0.15330494725491117,-0.0015412565411666232,-0.11812530335247556,-0.3894464740519156,0.16570087296884736,0.9663399749894853
Hipp_R,-0.5576867224373842,-0.4546039939007914,-0.33486898011727445,-0.5925977096070022,0.10313392325259539,-0.5383004009490964,-0.49461504485421
Amyg_R,0.3187292934082293,-0.10100535653280632,-0.43621129836564376,-0.2979598205563123,0.06933850381913648,-0.026636065066092784,1.3211737768021188
Accum_R,1.3002273393012178,-0.3212514707293477,-0.6681751877552508,-0.16409475167906454,-0.36925715012801785,0.46068836916506184,0.01916681027216285
