,Degree,Strength,Betweenness,Cluster,Efficiency
CG_L_7_1,0.5887720861408343,-1.1996655892061778,0.6398993379509749,-0.5238275408679788,-0.470522797644746
CG_R_7_1,0.7948460774825034,-1.4194165398252805,-0.8207730933725715,1.5294693507763313,1.5257540748901752
CG_L_7_2,3.144855996645885,2.8401186396110254,-0.7640596853618428,3.0184155749198545,4.08606609070617
CG_R_7_2,-0.8539712224927865,-1.0053568716835513,-0.5551614137436202,1.1859288466901288,1.2217677570203387
CG_L_7_3,2.0472472752363706,2.4686678818014047,-1.0366213710216945,3.8181020097325886,3.987493096410045
CG_R_7_3,-4.413069706770376,-2.1944330907223093,1.021837606761277,0.7264730466227218,1.3316179532354702
CG_L_7_4,-4.761563575204436,-0.5353940483993206,2.1917613743685926,2.998470099533123,2.9006587100449437
CG_R_7_4,-0.3594473052053079,0.2918768458481325,3.2565180065765387,1.7941344039044662,0.9613082746252964
CG_L_7_5,-0.6332662636077404,-0.9506828608844505,0.05561039489497271,0.9320318262735868,0.9249792336642346
CG_R_7_5,0.0,1.1882826511834226,-2.233587038085602,3.441838764387406,3.822061749837608
CG_L_7_6,-2.811608594264168,1.9555535379231235,-0.7747368713256102,4.39595665804425,4.994576803357742
CG_R_7_6,1.9448444498933442,-1.3259549909639294,1.2844842401021452,2.1619852212607205,1.9299913319951412
CG_L_7_7,-0.8358056488220205,0.7188550753932302,0.6834865377266367,0.00653304274662397,0.030320028230699396
CG_R_7_7,0.260057152448153,0.983281230919581,1.419815317184567,3.866156913250417,3.3035277091208606
Tha_L,-1.2629314982167885,-8.805241809004277,4.039340662244759,0.350481365005737,0.8046847313547335
Hipp_L,0.9142835960578342,-2.188975545450172,-0.19030344225890933,0.24830149608423036,0.2799619634695628
Amyg_L,-3.0019939787705985,-4.493918049803827,1.6274434003891842,0.8017471347426091,-0.5712012199969542
Accum_L,-5.875496758371146,2.708346726551848,-0.5383453387126428,3.693806638909585,4.06602816204255
Tha_R,0.21420517748670562,-0.14107835721177592,0.20502983520106643,0.8454212797631127,0.8635512224524255
Hipp_R,0.21469755673889257,0.9515790776556632,-0.6103652989017713,1.032230385155655,1.0345639563322482
Amyg_R,0.0,0.006455821303588074,0.0,-1.0825785891449555,-1.0825785891449557
Accum_R,0.0,9.206026975918844,0.0,7.676496650491967,6.656684766923686
