,Degree,Strength,Betweenness,Cluster,Efficiency
CG_L_7_1,-0.6897999607957402,0.21199610346272454,0.593201891994579,1.2994584738215968,1.182720854046915
CG_R_7_1,-0.4083759456206466,-1.0047173926948576,0.6116364288182473,1.090638724782914,0.7113470522240954
CG_L_7_2,-0.8424113237919495,0.29215481214475164,0.37205045627826017,-0.765330005237122,-0.7716127765136973
CG_R_7_2,-0.4872926191074595,0.8697891686057608,-0.6333953481906255,-0.0038072909754146445,0.018147276817863996
CG_L_7_3,0.040998947832413736,-0.23663044611834733,3.449599427082091,-0.5618112000955732,-0.010102129965566578
CG_R_7_3,0.8394564251670087,1.672006066360345,-0.2744626854537097,0.7589824788884024,0.8431840331311866
CG_L_7_4,-1.3325453925462767,-1.9015688286516843,0.8337363645185393,3.3848242243568243,2.3041774447976113
CG_R_7_4,0.02966128227840626,-1.0358568412769023,1.1733535365741758,2.2195747813653055,1.8096250818967121
CG_L_7_5,-0.48054210291895355,0.6708584682513584,0.34557612426466067,-0.26990197997247145,-0.46406129760882786
CG_R_7_5,0.38412125421308807,1.1333076315146449,-1.1808688000493766,0.4168258749967348,0.43458787217564204
CG_L_7_6,1.3762477601628327,1.3525811407843347,-0.18878798279226727,0.49568305814539654,0.8266892278032111
CG_R_7_6,-1.829345801551037,3.0166166302523494,-1.0517729664760167,2.8667816107774673,2.4149426689572397
CG_L_7_7,-0.0259345124680441,-0.7787416029841532,1.3234294897375276,1.168406604784529,0.9671578811226511
CG_R_7_7,0.0,1.062317667001878,-1.2439341786379123,0.16066015203796008,0.26118889382650523
Tha_L,0.2317446880333192,-1.3810038593116318,0.5241537294588257,0.26489381055422545,0.3954078599472511
Hipp_L,1.2138209050027589,0.4745603921500056,-0.7051194686006556,1.2069668968826475,1.189289741555359
Amyg_L,-1.9536423657365498,-0.8776917481177969,-1.3639394442242325,1.272229503262203,1.3736841138517901
Accum_L,0.966145514214553,0.2821939719733518,2.1143211249577947,2.6131817963616557,2.573568932047288
Tha_R,1.8704343792409115,-2.8190012966129365,-0.7809711076364051,0.13274477369985915,0.5291053262561007
Hipp_R,0.12914342661783718,0.44530364377596393,-1.4858325376217016,1.4163246169802726,1.3734937604402058
Amyg_R,0.0,5.917813527819917,-9.46157351932399,12.350076389556994,12.431809174952981
Accum_R,1.0226324869852064,-0.4072525857527513,-1.879983801529698,1.2389787699607457,1.4923984747739878
