,Friedman_Stat
1799689,2.173913043478251
1839183,4.173913043478251
1839184,3.7391304347826235
1839185,0.2608695652173765
1839365,8.69565217391306
1839366,3.3913043478260647
1839546,4.956521739130437
1839547,8.956521739130437
1839728,4.521739130434753
1839729,2.173913043478251
1878677,1.652173913043498
1878858,3.7391304347826235
1878859,1.652173913043498
1878861,1.3913043478260647
1879040,6.869565217391312
1879041,3.2173913043478137
1879042,7.9130434782608745
4115495,1.652173913043498
4115676,2.4347826086956275
4115858,1.3913043478260647
4116040,0.7826086956521863
4153901,3.3913043478260647
4154082,4.2608695652173765
4154263,8.956521739130437
4154264,4.2608695652173765
4154445,3.1304347826086882
4154446,2.347826086956502
4154627,1.1304347826086882
4154628,2.695652173913061
4154809,0.34782608695650197
4154988,1.826086956521749
4155169,0.08695652173912549
4155170,3.1304347826086882
4155350,0.6086956521738784
4155351,0.2608695652173765
4155352,3.3913043478260647
4155353,0.34782608695650197
4155533,0.6086956521738784
4155534,1.3913043478260647
4155715,0.0
4193576,1.1304347826086882
4193577,1.1304347826086882
4193578,1.1304347826086882
4193758,2.695652173913061
4193759,3.7391304347826235
4193939,4.956521739130437
4193940,7.304347826086939
4194121,1.826086956521749
4194846,5.826086956521749
