roi,statistic,p_value
0,1.5555555555555556,0.4594258240359268
1,1.0833333333332575,0.5817778142098302
2,0.41176470588229946,0.8139288269830242
3,1.727272727272645,0.42162610548702095
4,1.1666666666666667,0.5580351457700471
5,1.3157894736841624,0.5179405887454409
6,1.9999999999998868,0.3678794411714632
7,2.8,0.24659696394160646
8,0.7647058823528877,0.6822542151017366
9,4.0,0.1353352832366127
10,3.5,0.1737739434504451
11,1.2258064516128446,0.5417756864712502
12,1.5555555555555556,0.4594258240359268
13,1.1428571428571428,0.5647181220077593
14,0.07999999999992725,0.9607894391523581
15,1.8,0.4065696597405992
16,0.23529411764700534,0.8890097654027995
17,2.599999999999955,0.27253179303401875
18,0.4516129032257478,0.7978725136602471
19,2.3333333333333335,0.3114032239145977
20,4.454545454545372,0.10782208975362817
21,2.0,0.36787944117144245
22,0.9545454545454545,0.6204732862287334
23,0.6,0.740818220681718
24,1.027027027026978,0.5983894316362601
25,0.18181818181818182,0.9131007162822623
26,3.5,0.1737739434504451
27,5.374999999999887,0.06805085402501401
28,2.3809523809522943,0.3040764312848465
29,3.5,0.1737739434504451
30,0.4516129032257478,0.7978725136602471
31,2.3333333333333335,0.3114032239145977
32,9.333333333333334,0.009403562551495204
33,0.07999999999992725,0.9607894391523581
34,1.0,0.6065306597126334
35,0.8571428571428571,0.6514390575310558
36,0.46153846153846156,0.7939226578179513
37,1.4,0.4965853037914095
38,1.8064516129031674,0.40526025778328134
39,2.3333333333333335,0.3114032239145977
40,2.9473684210525364,0.22907994981549848
41,2.888888888888889,0.23587708298570023
42,3.5,0.1737739434504451
43,2.0,0.36787944117144245
44,1.0857142857142337,0.5810856336678352
45,4.260869565217312,0.11878563669441358
46,0.0,1.0
47,1.6,0.4493289641172217
48,0.37837837837832927,0.8276299132500912
49,7.0,0.0301973834223185
50,0.7368421052630623,0.6918258252705503
51,2.0,0.36787944117144245
52,0.6363636363635538,0.7274705090243135
53,4.5,0.10539922456186433
54,6.75,0.034218118311666025
55,0.6153846153845803,0.7351414805916974
56,2.25,0.3246524673583498
57,0.18181818181818182,0.9131007162822623
58,1.5499999999999547,0.46070378099897635
59,9.25,0.00980365503582183
60,0.1714285714285714,0.9178564384568926
61,1.5199999999999274,0.4676664270099262
62,3.935483870967684,0.1397721145965327
63,2.6666666666666665,0.26359713811572677
64,0.6666666666666666,0.7165313105737892
65,1.2,0.5488116360940265
66,6.5,0.03877420783172202
67,2.0,0.36787944117144245
68,2.0,0.36787944117144245
69,0.12499999999988634,0.9394130628135292
70,1.0,0.6065306597126334
71,1.75,0.41686201967850856
72,2.8,0.24659696394160646
73,2.6666666666666665,0.26359713811572677
74,0.6666666666666666,0.7165313105737892
75,2.0,0.36787944117144245
76,3.4399999999999276,0.1790661479114997
77,3.4999999999999356,0.1737739434504507
78,0.0,1.0
79,2.8,0.24659696394160646
80,1.6,0.4493289641172217
81,0.0,1.0
82,1.4,0.4965853037914095
83,1.75,0.41686201967850856
84,0.19999999999981818,0.9048374180360419
85,1.0,0.6065306597126334
86,3.0,0.22313016014842982
87,3.25,0.19691167520419406
88,2.0,0.36787944117144245
89,2.0,0.36787944117144245
90,1.0,0.6065306597126334
91,2.6666666666666665,0.26359713811572677
92,0.75,0.6872892787909721
93,0.12499999999988634,0.9394130628135292
94,5.870967741935426,0.053105017112606866
95,1.142857142857078,0.5647181220077775
96,1.6,0.4493289641172217
97,3.0,0.22313016014842982
98,1.1428571428571428,0.5647181220077593
99,2.0,0.36787944117144245
100,1.5,0.4723665527410149
101,0.5,0.7788007830714049
102,0.8,0.6703200460356394
103,0.2857142857142857,0.8668778997501817
104,2.3333333333333335,0.3114032239145977
105,2.0,0.36787944117144245
106,0.6666666666666666,0.7165313105737892
107,0.4999999999999351,0.7788007830714302
108,2.0,0.36787944117144245
109,,
110,2.6666666666666665,0.26359713811572677
111,,
112,3.499999999999887,0.17377394345045494
113,0.10526315789464112,0.9487294800164825
114,2.0,0.36787944117144245
115,,
116,,
117,,
118,2.0,0.36787944117144245
119,1.0,0.6065306597126334
120,,
121,1.0,0.6065306597126334
122,0.5,0.7788007830714049
123,3.5,0.1737739434504451
124,0.0,1.0
125,3.5,0.1737739434504451
126,1.3571428571427924,0.5073412481285006
127,0.2857142857142857,0.8668778997501817
128,3.5,0.1737739434504451
129,3.0,0.22313016014842982
130,2.606060606060551,0.2717071891465746
131,0.09090909090900824,0.9555630362683237
132,3.5,0.1737739434504451
133,3.4285714285714284,0.1800923121479524
134,1.8,0.4065696597405992
135,0.8888888888888888,0.6411803884299545
136,0.18181818181818182,0.9131007162822623
137,3.6216216216215726,0.1635214980390928
138,0.4,0.8187307530779818
139,3.5,0.1737739434504451
140,0.05714285714280517,0.9718328750330063
141,3.5624999999999996,0.16842748127818427
142,0.2068965517241379,0.9017226623630116
143,0.5599999999999273,0.7557837414557529
144,3.3793103448275232,0.18458316238656788
145,5.096774193548329,0.07820770578979193
146,0.2857142857142857,0.8668778997501817
147,0.25,0.8824969025845955
148,0.2222222222222222,0.8948393168143698
149,4.454545454545372,0.10782208975362817
150,0.5454545454545454,0.7613003866968737
151,0.2,0.9048374180359595
152,1.0,0.6065306597126334
153,1.2,0.5488116360940265
154,1.4,0.4965853037914095
155,0.75,0.6872892787909721
156,0.0,1.0
157,0.6666666666666666,0.7165313105737892
158,1.0,0.6065306597126334
159,1.75,0.41686201967850856
160,3.5555555555555554,0.16901331540606607
161,1.2,0.5488116360940265
162,1.8,0.4065696597405992
163,1.6363636363636365,0.441233167759984
164,3.0,0.22313016014842982
165,2.0,0.36787944117144245
166,1.0322580645160704,0.5968263778505776
167,0.25,0.8824969025845955
168,1.9999999999999416,0.3678794411714531
169,0.6499999999999546,0.7225273536420886
170,0.2857142857142857,0.8668778997501817
171,1.0,0.6065306597126334
172,0.19999999999995455,0.9048374180359802
173,2.38709677419349,0.3031436822281372
174,2.0,0.36787944117144245
175,1.6,0.4493289641172217
176,3.0,0.22313016014842982
177,2.260869565217352,0.3228928377083558
178,5.2,0.07427357821433386
179,2.0,0.36787944117144245
180,0.05882352941171121,0.9710165517924632
181,0.66666666666662,0.7165313105738059
182,4.3076923076923075,0.11603700224776009
183,2.0,0.36787944117144245
184,0.16666666666666666,0.9200444146293233
185,3.6,0.16529888822158653
186,2.6,0.27253179303401265
187,0.5,0.7788007830714049
188,1.0,0.6065306597126334
189,2.0,0.36787944117144245
190,2.8,0.24659696394160646
191,5.2,0.07427357821433386
192,0.6666666666666666,0.7165313105737892
193,2.0,0.36787944117144245
194,2.0,0.36787944117144245
195,0.6363636363635538,0.7274705090243135
196,0.3333333333333333,0.8464817248906141
197,0.0,1.0
198,1.1428571428571428,0.5647181220077593
199,3.5,0.1737739434504451
200,0.3333333333333333,0.8464817248906141
201,0.07999999999992725,0.9607894391523581
202,1.5,0.4723665527410149
203,0.3333333333333333,0.8464817248906141
204,0.2222222222222222,0.8948393168143698
205,0.3333333333333333,0.8464817248906141
206,3.0,0.22313016014842982
207,1.2,0.5488116360940265
208,0.0,1.0
209,0.2857142857142857,0.8668778997501817
210,0.6774193548387097,0.7126893288619573
211,0.8749999999998865,0.6456485264279287
212,0.051282051282004644,0.9746849137081749
213,1.727272727272645,0.42162610548702095
214,2.4897959183673093,0.28797029135521374
215,2.6315789473683258,0.26826245346997374
216,3.7999999999998195,0.14956861922264855
217,5.2,0.07427357821433386
218,6.588235294117594,0.03710076657961878
219,0.7924528301886794,0.6728543343119713
220,0.499999999999965,0.7788007830714185
221,0.75,0.6872892787909721
222,9.499999999999888,0.008651695203121118
223,2.0,0.36787944117144245
224,1.0,0.6065306597126334
