roi,statistic,p_value
0,2.3333333333333144,0.3114032239146006
1,1.0833333333333144,0.5817778142098137
2,0.5833333333333144,0.7470175003104397
3,0.25,0.8824969025845955
4,0.75,0.6872892787909721
5,0.75,0.6872892787909721
6,0.25,0.8824969025845955
7,3.0833333333333144,0.2140240971774495
8,0.5833333333333144,0.7470175003104397
9,1.5833333333333144,0.45308901728017326
10,3.25,0.19691167520419406
11,1.3333333333333144,0.5134171190325971
12,2.3333333333333144,0.3114032239146006
13,5.333333333333314,0.06948345122280218
14,0.25,0.8824969025845955
15,2.5833333333333144,0.27481238055949236
16,0.75,0.6872892787909721
17,0.75,0.6872892787909721
18,3.0833333333333144,0.2140240971774495
19,0.5833333333333144,0.7470175003104397
20,1.0833333333333144,0.5817778142098137
21,0.75,0.6872892787909721
22,0.75,0.6872892787909721
23,0.08333333333331439,0.9591894571091473
24,2.25,0.3246524673583498
25,1.3333333333333144,0.5134171190325971
26,4.333333333333314,0.11455884399268881
27,2.0833333333333144,0.3528660814588523
28,1.0,0.6065306597126334
29,8.333333333333314,0.015503853599009467
30,1.0833333333333144,0.5817778142098137
31,6.083333333333314,0.0477552310788274
32,0.5833333333333144,0.7470175003104397
33,1.3333333333333144,0.5134171190325971
34,1.0833333333333144,0.5817778142098137
35,0.5833333333333144,0.7470175003104397
36,0.3333333333333144,0.8464817248906221
37,1.0,0.6065306597126334
38,4.0,0.1353352832366127
39,0.08333333333331439,0.9591894571091473
40,0.25,0.8824969025845955
41,0.08333333333331439,0.9591894571091473
42,2.0833333333333144,0.3528660814588523
43,4.083333333333314,0.1298121768554392
44,0.75,0.6872892787909721
45,0.75,0.6872892787909721
46,0.75,0.6872892787909721
47,1.3333333333333144,0.5134171190325971
48,0.08333333333331439,0.9591894571091473
49,2.5833333333333144,0.27481238055949236
50,3.0833333333333144,0.2140240971774495
51,0.5833333333333144,0.7470175003104397
52,1.5833333333333144,0.45308901728017326
53,1.0,0.6065306597126334
54,2.5833333333333144,0.27481238055949236
55,1.0,0.6065306597126334
56,1.0833333333333144,0.5817778142098137
57,5.25,0.07243975703425146
58,0.5833333333333144,0.7470175003104397
59,0.25,0.8824969025845955
60,1.75,0.41686201967850856
61,0.08333333333331439,0.9591894571091473
62,4.0,0.1353352832366127
63,1.0833333333333144,0.5817778142098137
64,1.0833333333333144,0.5817778142098137
65,0.3333333333333144,0.8464817248906221
66,3.5833333333333144,0.1666821344779481
67,3.25,0.19691167520419406
68,4.75,0.09301448921066348
69,2.5833333333333144,0.27481238055949236
70,1.0,0.6065306597126334
71,0.25,0.8824969025845955
72,3.0,0.22313016014842982
73,3.25,0.19691167520419406
74,0.5833333333333144,0.7470175003104397
75,4.083333333333314,0.1298121768554392
76,0.5833333333333144,0.7470175003104397
77,1.3333333333333144,0.5134171190325971
78,1.0833333333333144,0.5817778142098137
79,2.3333333333333144,0.3114032239146006
80,0.75,0.6872892787909721
81,0.3333333333333144,0.8464817248906221
82,6.333333333333314,0.04214384350927679
83,7.583333333333314,0.022557973880056266
84,0.25,0.8824969025845955
85,3.0833333333333144,0.2140240971774495
86,1.0833333333333144,0.5817778142098137
87,0.75,0.6872892787909721
88,4.333333333333314,0.11455884399268881
89,0.3333333333333144,0.8464817248906221
90,0.5833333333333144,0.7470175003104397
91,1.3333333333333144,0.5134171190325971
92,1.5833333333333144,0.45308901728017326
93,1.3333333333333144,0.5134171190325971
94,0.75,0.6872892787909721
95,0.5833333333333144,0.7470175003104397
96,1.5833333333333144,0.45308901728017326
97,4.0,0.1353352832366127
98,3.5833333333333144,0.1666821344779481
99,7.0,0.0301973834223185
100,0.5833333333333144,0.7470175003104397
101,7.75,0.02075433787369974
102,1.0833333333333144,0.5817778142098137
103,0.5833333333333144,0.7470175003104397
104,0.5833333333333144,0.7470175003104397
105,2.3333333333333144,0.3114032239146006
106,1.0833333333333144,0.5817778142098137
107,7.75,0.02075433787369974
108,3.0833333333333144,0.2140240971774495
109,1.75,0.41686201967850856
110,2.0833333333333144,0.3528660814588523
111,0.5833333333333144,0.7470175003104397
112,0.3333333333333144,0.8464817248906221
113,3.0833333333333144,0.2140240971774495
114,0.3333333333333144,0.8464817248906221
115,,
116,,
117,,
118,1.0833333333333144,0.5817778142098137
119,2.3333333333333144,0.3114032239146006
120,0.5833333333333144,0.7470175003104397
121,0.08333333333331439,0.9591894571091473
122,0.5833333333333144,0.7470175003104397
123,1.75,0.41686201967850856
124,5.083333333333314,0.0787350652668626
125,2.0833333333333144,0.3528660814588523
126,5.25,0.07243975703425146
127,0.5833333333333144,0.7470175003104397
128,3.5833333333333144,0.1666821344779481
129,1.0,0.6065306597126334
130,12.25,0.002187491118182885
131,0.08333333333331439,0.9591894571091473
132,3.0,0.22313016014842982
133,2.3333333333333144,0.3114032239146006
134,2.3333333333333144,0.3114032239146006
135,0.08333333333331439,0.9591894571091473
136,0.5833333333333144,0.7470175003104397
137,9.333333333333314,0.009403562551495298
138,0.5833333333333144,0.7470175003104397
139,0.5833333333333144,0.7470175003104397
140,0.25,0.8824969025845955
141,5.583333333333314,0.06131893048501075
142,1.75,0.41686201967850856
143,0.25,0.8824969025845955
144,1.3333333333333144,0.5134171190325971
145,3.25,0.19691167520419406
146,4.083333333333314,0.1298121768554392
147,4.083333333333314,0.1298121768554392
148,3.0,0.22313016014842982
149,0.3333333333333144,0.8464817248906221
150,0.5833333333333144,0.7470175003104397
151,0.3333333333333144,0.8464817248906221
152,1.5833333333333144,0.45308901728017326
153,0.5833333333333144,0.7470175003104397
