,subject,slope,R²
0,sub-pl007,-0.04062317581345832,0.001438336774852939
1,sub-pl008,-0.030383012095728745,0.0023383510595390558
2,sub-pl010,-0.03204738434778866,0.0013034442607471758
3,sub-pl012,-0.07002759048104035,0.008803713917668782
4,sub-pl013,-0.09712635914789462,0.00890740670591755
5,sub-pl014,-0.10721548261076705,0.010783959595878745
6,sub-pl016,-0.0071157234367198435,0.0001266450343228452
7,sub-pl017,-0.229459643108873,0.08840945937662173
8,sub-pl019,0.19320530248747442,0.06231476745568759
9,sub-pl027,-0.31740510522017107,0.21942624314367618
10,sub-pl030,-0.5285630744074463,0.40667027533109285
11,sub-pl031,-0.2712100230229965,0.0837850189162293
12,sub-pl032,0.3460894617477838,0.09621795211762907
13,sub-pl034,-0.38115201051997477,0.15732372969952904
14,sub-pl035,-0.3515054793900576,0.17544096091400044
15,sub-pl036,0.20014148882280636,0.07216823375734069
16,sub-pl037,0.04420789353522052,0.006117444847292121
17,sub-pl038,-0.16546186472833047,0.053128320046908185
18,sub-pl039,-0.09277123824036834,0.019133642944524295
19,sub-pl042,0.19038497460368753,0.03340579456795386
20,sub-pl047,0.1280764264303618,0.034296998639468
21,sub-pl049,0.20431924019088016,0.0547089901097836
22,sub-pl050,-0.33874558015740314,0.2744277710484462
23,sub-pl055,0.14641465588377425,0.02207460086541074
24,sub-pl056,-0.3863542215503383,0.3501046967697375
25,sub-pl063,0.035145602544907194,0.0014452627625173048
26,sub-pl064,-0.03870391420394598,0.0016982108535585007
