,subject,slope,R²
0,sub-pl007,3.373839314892298,0.09887336415180327
1,sub-pl010,-0.2619899263740054,0.0006761524713396676
2,sub-pl012,-1.8150482321719361,0.011281186129143066
3,sub-pl013,-3.4052860986859015,0.08325285617391903
4,sub-pl014,1.4609747529901187,0.029471381188364974
5,sub-pl017,1.8688715384426748,0.037433206604381604
6,sub-pl019,3.442558454581103,0.11804572433353586
7,sub-pl027,0.8845674057346165,0.016239025490611285
8,sub-pl030,1.7563369105102087,0.024199464082029547
9,sub-pl031,0.05891290572756211,4.311950461888049e-05
10,sub-pl032,0.49882260639140674,0.005193565741342605
11,sub-pl034,-1.0544633458898214,0.013486196160699382
12,sub-pl035,1.4856928374490788,0.028630944178280115
13,sub-pl036,-1.3470693772167384,0.01891446094477725
14,sub-pl038,1.3171400962608444,0.019578408232541426
15,sub-pl042,-1.7745066421739075,0.05747394796593826
16,sub-pl047,-1.0813454149962531,0.020261796658639707
17,sub-pl049,-2.1364807884301333,0.04157175605568202
18,sub-pl050,-1.7465024588911382,0.04311277979997665
19,sub-pl055,3.8139522861633797,0.09785734328865751
20,sub-pl056,2.228926222103833,0.023191218281083687
21,sub-pl063,1.6645012386422917,0.033313112272713
22,sub-pl064,2.085280276940014,0.059458643362671475
