,subject,slope,R²
0,sub-pl007,-0.02446836451356916,0.2154911398370785
1,sub-pl008,-0.03235064429543277,0.3008178135160604
2,sub-pl010,-0.03343249019744012,0.3329335947432071
3,sub-pl012,0.013394696472481055,0.020544394046773978
4,sub-pl013,0.03290436878614271,0.27105447230143304
5,sub-pl014,-0.02120220183878376,0.18492341042345228
6,sub-pl016,-0.014363681709807076,0.10707831832380009
7,sub-pl017,-0.04074417677902756,0.2640132801266339
8,sub-pl019,-0.01634860316253604,0.07587154492140234
9,sub-pl027,0.0010383480139365057,0.0008185162334082398
10,sub-pl030,-0.031284143192734995,0.27883051553184557
11,sub-pl031,-0.04331169077032916,0.36264503131243375
12,sub-pl032,-0.01035975000397767,0.04996344781056478
13,sub-pl034,0.014987048154690458,0.09784211067485385
14,sub-pl035,-0.006516886671753192,0.021728630431381082
15,sub-pl036,0.04088424751202971,0.5123034003946804
16,sub-pl037,0.0705043698266324,0.7139687350780044
17,sub-pl038,-0.012864498620860601,0.060053592182025675
18,sub-pl039,0.0038750142345645917,0.008066690523002499
19,sub-pl042,0.006287992706444222,0.025770230690999565
20,sub-pl047,0.025210920070901525,0.2333386584902072
21,sub-pl049,0.017877575252141294,0.15862684875922894
22,sub-pl050,0.003705826039043064,0.009163862603115162
23,sub-pl055,-0.016842612725241807,0.08515594934108126
24,sub-pl056,-0.04785297764973485,0.4557358910215912
25,sub-pl063,0.00936838991842769,0.03832995362219204
26,sub-pl064,-0.0197099799175243,0.18215684180661454
