,subject,slope,R²
0,sub-pl002,0.005590962238424913,0.01578188332270186
1,sub-pl006,0.0013069628931555897,0.0006802508805838539
2,sub-pl015,0.03215702152692221,0.3134661510371811
3,sub-pl021,-0.0008276347854057919,0.00033946132275078334
4,sub-pl022,0.06176365624747532,0.6922099627113183
5,sub-pl023,0.0036671578923016595,0.004299924097679557
6,sub-pl024,-0.01383184485498797,0.09865568049991816
7,sub-pl025,0.016248086711377945,0.08022462288661154
8,sub-pl029,-0.03152066316770295,0.3739571451708997
9,sub-pl040,-0.02868783809056892,0.27595879205175505
10,sub-pl041,0.018915646674429753,0.16095115137057545
11,sub-pl046,-0.024544205296255908,0.13515671667121684
12,sub-pl048,0.031247976037703133,0.41803823814647223
13,sub-pl051,-0.014943653980421332,0.09378651357960756
14,sub-pl052,-0.004036098616327515,0.007280045628861359
15,sub-pl053,0.002609489968626321,0.005215032102229949
16,sub-pl054,0.009769506615513724,0.046492391634498156
17,sub-pl057,0.006546704551464775,0.01360886979362095
18,sub-pl058,-0.05408801218255966,0.6382563914664686
19,sub-pl059,-0.015644585138856745,0.15377051856800603
20,sub-pl060,-0.03301368927889315,0.4159725861003372
21,sub-pl061,0.011542780253732338,0.04988373396168937
22,sub-pl062,0.023128439306565798,0.2794987668756178
23,sub-pl065,-0.003356165525713471,0.005623400691223592
