,subject,slope
0,sub-pl007,-0.026526626470914503
1,sub-pl010,-0.06812919032447572
2,sub-pl012,0.1104839948277235
3,sub-pl013,0.10346528524311772
4,sub-pl014,-0.021031084917112353
5,sub-pl016,-0.01956009670824523
6,sub-pl017,-0.05366202357558075
7,sub-pl019,-0.04652985918119142
8,sub-pl027,-0.03904224203272094
9,sub-pl030,-0.07530738782959984
10,sub-pl031,-0.048316063663876974
11,sub-pl032,-0.03014793854509346
12,sub-pl034,0.02752005477465106
13,sub-pl035,-0.02345970667800703
14,sub-pl036,0.0417990269168113
15,sub-pl038,-0.027341108908043806
16,sub-pl042,-0.04299841342810428
17,sub-pl047,0.042197376451030166
18,sub-pl049,-0.0038566031298956777
19,sub-pl050,0.04422658920504384
20,sub-pl055,-0.07416737042377636
21,sub-pl056,-0.08732441785218058
22,sub-pl063,0.0036813380618197136
23,sub-pl064,0.00879237704772702
