,Label,Correlation Coefficient
0,CG_L_7_1,0.7361932959304149
1,CG_R_7_1,0.6237645409611914
2,CG_L_7_2,0.933640978954327
3,CG_R_7_2,0.8231614607857014
4,CG_L_7_3,0.842473233206729
5,CG_R_7_3,0.826194479875828
6,CG_L_7_4,0.7851023769122102
7,CG_R_7_4,0.8265244838203765
8,CG_L_7_5,0.6730300627117978
9,CG_R_7_5,0.6245864562594239
10,CG_L_7_6,0.6824072738772284
11,CG_R_7_6,0.7500665617047488
12,CG_L_7_7,0.6852440330613188
13,CG_R_7_7,0.7874480200269535
14,Tha_L,0.7027558144841223
15,Hipp_L,0.7134256446513064
16,Amyg_L,0.4015152823635263
17,Accum_L,0.6993189707756077
18,Tha_R,0.6311806172100454
19,Hipp_R,0.7843302950456889
20,Amyg_R,0.29556209646985576
21,Accum_R,0.6962487325094489
