,Age,BECK,PCS,STAI,Sex
CG_L_7_1,0.16638914466517413,0.5916795475806982,-0.047387275952360954,0.6526009956220424,0.7543070092380292
CG_R_7_1,0.03835914600182982,0.787059942909589,-0.07621045099830903,1.0813796364889328,0.5079129176678194
CG_L_7_2,0.6519943394767693,0.17757174507946158,-0.031127732982131263,0.0014960979776541606,0.9155306652293883
CG_R_7_2,0.32999898698849045,0.6900583676411756,-0.04459298193505109,0.8103720893628455,0.4874920865057675
CG_L_7_3,-0.10107293099998767,0.7278472610152867,0.05514087646958737,1.1537154651351527,0.8548424454929094
CG_R_7_3,0.25885077148186575,0.7369688294871978,0.10678764480678685,1.030405051193627,0.6274979516831632
CG_L_7_4,0.4165173625495405,0.22326960803242824,-0.17753292451131325,0.22427759106103395,0.9011144920732563
CG_R_7_4,-0.27564242619635887,0.7773883012813191,0.13627819800340354,0.8827210203880624,0.17274201684899004
CG_L_7_5,0.3570601333790448,0.39433729405818985,0.0035560107877164356,0.3934596408080267,0.8752582247136991
CG_R_7_5,-0.04910770539319258,0.1988903935761252,-1.1932402530724193,-0.1174948613327721,0.455555136546191
CG_L_7_6,-0.17128108673572143,0.7240233153239066,-0.28328884750090405,0.6300304187101685,0.7111150163410948
CG_R_7_6,0.1594726553753097,0.7658797734993176,-0.22021691677974023,0.8840624921977698,0.09766560422321365
CG_L_7_7,0.3568122564288598,0.7246282244100641,0.22433835543204642,0.9105468169119758,0.5233545240182101
CG_R_7_7,0.07942344985677016,-0.668700900631726,-0.42607415666208315,-0.6860104694064478,-0.055451320669942364
Tha_L,0.2856360579183185,0.6285747549059666,-0.015358821722742024,0.6063500459721318,0.7193703120144869
Hipp_L,0.5598658178979276,0.494401080162133,0.20878135245736248,0.6534522065421288,0.7173092382709195
Amyg_L,-0.40786391253857796,0.214014851001481,-0.7492814961642487,0.4684876763232194,0.654771372883309
Accum_L,0.0744634493590053,0.2834256854309453,0.5834549139301398,0.6894991896131308,1.256948856581774
Tha_R,0.2365623800719219,0.7374943184039846,0.40159706184596844,0.7120685479346139,0.2198924995602357
Hipp_R,-0.12632513502212814,0.8145911285171721,0.0012754672926395744,0.9621888306244563,0.31723426914336733
Amyg_R,-0.83718155413986,-0.03720616769776121,-0.24533311695065205,-0.7418646089499042,-0.9028441154556082
Accum_R,0.5695008314517611,1.0189708980349392,0.5831368523081782,0.7113689574212319,0.2754974472658074
