,Label,Correlation Coefficient
0,CG_L_7_1,0.8520732820011846
1,CG_R_7_1,0.7770499210640497
2,CG_L_7_2,0.8425567380532356
3,CG_R_7_2,0.8105974201438975
4,CG_L_7_3,0.8586731406133326
5,CG_R_7_3,0.8493935833553667
6,CG_L_7_4,0.8604087277599526
7,CG_R_7_4,0.8788444353176397
8,CG_L_7_5,0.8870604149613004
9,CG_R_7_5,0.8329452233007646
10,CG_L_7_6,0.9007866935899383
11,CG_R_7_6,0.9199230609462171
12,CG_L_7_7,0.8043874048793518
13,CG_R_7_7,0.7582482798477123
14,Tha_L,0.8668477596029733
15,Hipp_L,0.9127074579074582
16,Amyg_L,0.8785221937366174
17,Accum_L,0.7966412026110242
18,Tha_R,0.9335521672081937
19,Hipp_R,0.8684667452005
20,Amyg_R,0.8341686698482865
21,Accum_R,0.8748463626952725
