,Age,BECK,PCS,STAI,Sex
CG_L_7_1,0.5382690447550815,0.9901469738160162,0.8741214615611135,1.6289379337536416,0.6533900981673694
CG_R_7_1,0.37585980187335283,0.7914088537964202,0.5345869276940118,0.869661065152367,0.23323351259401667
CG_L_7_2,-0.6347895544242723,0.5698657579538716,-0.12531456647326406,0.7555551042015701,-0.25973364004888067
CG_R_7_2,-0.36232490091895636,0.6887997872706737,0.22008060211722003,0.8856444265540618,0.6243620631953696
CG_L_7_3,-0.22073727826363443,1.237938698386122,-0.04155162099044402,1.3557237285435155,-0.1393563631442326
CG_R_7_3,0.2720988655600242,0.7251410257180658,0.12936152060542822,1.0265458340696452,0.3894457733645096
CG_L_7_4,0.6586088807222538,1.8842667946056142,1.024959544088559,1.3411468872080512,0.10090650078088267
CG_R_7_4,-0.9283418047680346,0.8214293053951235,0.23818154716127277,1.0225436255748128,-0.15044796002287167
CG_L_7_5,-0.0289363380626248,0.43823481862561764,0.2511314061266677,0.5754746428938834,0.9591879565465372
CG_R_7_5,0.43195672232690335,0.937935993746823,0.3079618755960147,1.0264183117987484,0.29522550413481113
CG_L_7_6,-0.6534335374393597,1.4140882538900992,-0.0011325679782148812,1.4397551866044043,0.08883779954102036
CG_R_7_6,-0.07740507342725561,1.1343409261016442,0.5240877914758536,1.075981293452289,0.8687166789925334
CG_L_7_7,-1.8563975065242733,-0.34464968334186064,-0.062328125190465565,0.07933064778118203,-0.09296035319772784
CG_R_7_7,0.46103518394314386,0.6498126654114238,0.623096998439351,0.6100147930004107,0.10210236535772865
Tha_L,0.6654888712842987,-0.5757572435679007,-0.2578796080926827,0.21380523585407926,1.4523116427960119
Hipp_L,0.9037533248813523,0.07888819153249203,0.3882679924458629,0.008393575776845312,0.504522898045136
Amyg_L,-1.6051088398863538,-0.1729667687047028,-0.6346556601267002,0.6124210395434354,0.6151927666150073
Accum_L,-1.830218822544102,0.22974569986459167,0.5797201339455746,1.0115421391797437,0.49501273574971966
Tha_R,-0.07503607246026528,0.8593170603923227,0.26428055798800887,1.060164175314991,0.3125639949007843
Hipp_R,-0.05609387719935007,0.7217368321959927,0.3935807719146231,0.7447580803474887,-0.27454655109717163
Amyg_R,-0.2532089601046792,-1.103083192624947,-0.370934337754391,-1.1588295438512337,-0.16440517139811017
Accum_R,0.9805420521005114,0.2414104132179637,0.9146139875336089,-1.1034886958281376,1.0386998699147023
