,Age,BECK,PCS,STAI,Sex
CG_L_7_1,0.18963060184300787,-0.5918186510119662,-0.7707424335088899,-0.42078854838909713,-0.3284839191928458
CG_R_7_1,0.804212502609596,0.13107279708333014,-0.09551725991915706,0.7434527674623918,0.787023418965445
CG_L_7_2,-0.6753713636668773,0.4670048401378525,-1.3525381190431365,0.2670768174330666,-0.11939866333083503
CG_R_7_2,1.4223001275201175,-0.2778644583394235,-0.15966416374963197,-0.477564878565925,0.26264193699163996
CG_L_7_3,-0.4306515597405316,0.10846876346799021,-0.14875762658935265,0.0742914365937958,0.8896879506881726
CG_R_7_3,-0.40042697874234384,-0.5594320670153763,0.41059410828478987,-0.45022330948794387,-0.9638116541786288
CG_L_7_4,0.14411595725242363,-0.03994859354286923,-0.2724080266161322,-0.06843611366377292,1.0741816516076321
CG_R_7_4,-0.9523778669861516,0.5764187652440251,-0.2867759713283857,1.2762816326794562,-0.8201835594339216
CG_L_7_5,0.7650228300915629,-0.4112004075842911,-0.3088484858535786,-0.38833465807361084,0.7437409365480326
CG_R_7_5,0.521116996010422,0.39893243074096696,-0.5084132345379018,0.5484448748065122,0.47107994789752256
CG_L_7_6,-0.4631510062526469,-0.01606788074698312,-0.9187558357823888,0.17413817793841388,0.2333567232777115
CG_R_7_6,0.12933290049574042,0.4593300215516213,-0.6557169625182768,0.684344440592606,0.2672286370177137
CG_L_7_7,-0.5516734534691587,0.7230618279199749,0.2682391410798861,0.6739547325021115,-0.006964637741948203
CG_R_7_7,0.5459857155017326,0.38972576078273213,0.5281536822499713,0.29965930727848655,0.7086604534435527
Tha_L,0.49658974638436765,0.7688302297564137,0.11346239798092415,0.3688849757719803,1.2264151632457587
Hipp_L,0.8614896154470598,-0.1924009897474029,-0.8322066952300733,-0.8869221972242861,0.5034768705237195
Amyg_L,-0.7338063754821674,-0.16115258504812202,-0.5727184362229045,-0.174445741449238,0.31757250804061693
Accum_L,0.11546790923721427,1.073383449751046,-0.12295054047711325,1.0143465719419933,0.23258453903590995
Tha_R,0.930857442122946,0.08202504078960474,0.5061694885244981,-1.0254196316656004,0.736878900578314
Hipp_R,-0.2942196716033952,1.0322425328891436,0.3260381237711284,0.8262498804175116,-0.3950923802578743
Amyg_R,-0.19574336927946756,-0.09846877305303608,0.9177808986232177,-0.4790822052909145,0.17351389339237605
Accum_R,-0.0464924743477532,0.5806152453198208,-0.08480619460382903,0.8105263540386154,0.8196622293533627
