	statistic
0	1.4000000000000075
1	1.482758620689616
2	1.312500000000007
3	5.428571428571493
4	0.06451612903217004
5	1.4482758620689735
6	6.499999999999957
7	3.4347826086956275
8	2.122448979591823
9	2.181818181818216
10	6.349999999999965
11	0.33333333333336285
12	2.3870967741934965
13	1.7857142857142774
14	0.7027027027027334
15	0.6666666666667257
16	0.047619047618982654
17	3.500000000000019
18	1.627118644067793
19	0.33333333333316917
20	2.178571428571445
21	1.000000000000012
22	1.0000000000000053
23	0.31818181818185953
24	0.5777777777778031
25	3.5714285714285547
26	5.428571428571493
27	0.11764705882347146
28	5.399999999999954
29	1.2499999999999942
30	0.18181818181809223
31	6.333333333333409
32	1.9999999999999702
33	0.5000000000000443
34	0.0
35	0.7027027027027334
36	3.1162790697674474
37	0.16666666666658458
38	3.7916666666666146
39	1.3571428571428732
40	1.6363636363636225
41	0.33333333333316917
42	1.1363636363636311
43	1.3333333333332578
44	0.4000000000000354
45	0.9999999999999432
46	1.1176470588235428
47	2.888888888888822
48	0.30434782608699606
49	2.7727272727272934
50	2.1764705882352473
51	3.5555555555555474
52	0.3783783783784275
53	1.7192982456139834
54	1.1249999999999905
55	0.8181818181818112
56	0.6666666666666289
57	1.3584905660377573
58	0.20689655172403604
59	1.0869565217391255
60	0.500000000000065
61	1.1666666666666732
62	9.297297297297334
63	2.3902439024389524
64	0.2857142857141449
65	0.6857142857142466
66	1.8064516129031227
67	1.1111111111111063
68	0.2857142857141449
69	0.07999999999989087
70	2.882352941176384
71	1.1428571428570777
72	3.5625000000000426
73	0.7368421052632536
74	0.1999999999999886
75	1.9999999999998876
76	0.6666666666667257
77	1.6470588235293182
78	1.7714285714285454
79	3.7142857142856274
80	0.6666666666667257
81	0.25806451612901754
82	0.4117647058824065
83	1.4000000000000075
84	8.599999999999946
85	1.0769230769230829
86	1.2272727272727169
87	2.0000000000000107
88	1.0769230769232172
89	2.6666666666665155
90	0.5384615384616084
91	3.9999999999997753
92	2.7804878048780823
93	1.2000000000001065
94	1.302325581395275
95	2.6486486486485687
96	3.230769230769248
97	2.3124999999999503
98	2.324324324324263
99	1.9999999999999833
100	2.8000000000000163
101	0.05882352941168446
102	8.679999999999978
103	1.1428571428570777
104	3.07142857142849
105	2.888888888888822
106	2.6666666666665155
107	0.23529411764704547
108	0.4999999999997536
109	0.39999999999980307
110	2.0000000000000107
111	
112	0.6086956521739921
113	2.631578947368409
114	3.9999999999997753
115	
116	
117	2.8000000000000163
118	0.6666666666663383
119	0.0
120	2.545454545454401
121	1.2000000000001065
122	0.0
123	1.2000000000001065
124	0.04166666666660982
125	3.99999999999999
126	3.000000000000016
127	0.32558139534887953
128	0.9047619047619155
129	2.536585365853642
130	3.4999999999998943
131	3.199999999999992
132	3.941176470588242
133	1.4000000000000075
134	2.666666666666709
135	0.9152542372881279
136	2.150943396226441
137	1.1071428571428408
138	3.041666666666657
139	1.1666666666666732
140	0.103448275862018
141	2.4255319148936456
142	3.9591836734693233
143	4.514285714285681
144	4.666666666666603
145	3.1666666666667047
146	5.542857142857051
147	4.84444444444446
148	0.5454545454545936
149	0.2499999999998768
150	3.1020408163265683
151	1.9999999999999474
152	1.1666666666666732
153	0.33333333333316917
154	0.2857142857141449
155	2.533333333333364
156	4.666666666666693
157	6.465116279069704
158	4.157894736842076
159	3.2499999999999236
160	4.536585365853592
161	0.4999999999997536
162	0.2499999999998768
163	2.0000000000000107
164	3.230769230769248
165	2.000000000000032
166	3.230769230769248
167	0.4000000000000519
168	0.0
169	1.99999999999994
170	0.600000000000053
171	0.8837209302325688
172	0.39393939393941113
173	4.440000000000009
174	0.9411764705881819
175	1.9999999999999833
176	0.36734693877554275
177	0.5306122448979824
178	4.440000000000009
179	3.743589743589732
180	4.8846153846153575
181	0.4923076923076643
182	0.40909090909094525
183	2.0000000000000107
184	1.4999999999999876
185	1.5555555555555642
186	0.16666666666658458
187	10.285714285714198
188	0.9999999999995081
189	1.7272727272727484
190	0.33333333333316917
191	0.4999999999999716
192	0.2857142857141449
193	1.9999999999990126
194	3.599999999999971
195	0.583333333333409
196	0.7368421052632536
197	0.153846153845944
198	2.8108108108107923
199	0.5600000000000728
200	2.73684210526314
201	0.0
202	0.6363636363637192
203	0.4999999999997536
204	0.0
205	1.5555555555555642
206	0.15384615384607805
207	0.4000000000000519
208	1.0566037735848457
209	3.1162790697674474
210	3.2881355932202854
211	2.4255319148936456
212	2.6129032258064298
213	1.3170731707316963
214	0.9736842105262948
215	0.5454545454545936
216	0.7272727272726859
217	1.5999999999999095
218	2.161290322580649
219	0.18181818181817147
220	0.38095238095235934
221	0.5625000000000497
222	3.8999999999999098
223	5.428571428571493
224	0.4999999999997536
