,roi,statistic
0,SFG_L_7_1,0.6086956521738784
1,SFG_R_7_1,5.565217391304316
2,SFG_L_7_2,1.3913043478260647
3,SFG_R_7_2,0.6086956521738784
4,SFG_L_7_3,2.695652173913061
5,SFG_R_7_3,0.34782608695650197
6,SFG_L_7_4,1.0434782608695627
7,SFG_R_7_4,0.6086956521738784
8,SFG_L_7_5,2.695652173913061
9,SFG_R_7_5,2.4347826086956275
10,SFG_L_7_6,1.652173913043498
11,SFG_R_7_6,0.6086956521738784
12,SFG_L_7_7,1.1304347826086882
13,SFG_R_7_7,1.1304347826086882
14,MFG_L_7_1,0.6086956521738784
15,MFG_R_7_1,0.2608695652173765
16,MFG_L_7_2,1.826086956521749
17,MFG_R_7_2,1.1304347826086882
18,MFG_L_7_3,1.1304347826086882
19,MFG_R_7_3,1.826086956521749
20,MFG_L_7_4,1.652173913043498
21,MFG_R_7_4,1.1304347826086882
22,MFG_L_7_5,0.7826086956521863
23,MFG_R_7_5,2.4347826086956275
24,MFG_L_7_6,3.2173913043478137
25,MFG_R_7_6,0.08695652173912549
26,MFG_L_7_7,1.652173913043498
27,MFG_R_7_7,0.6086956521738784
28,IFG_L_6_1,3.1304347826086882
29,IFG_R_6_1,0.7826086956521863
30,IFG_L_6_2,3.2173913043478137
31,IFG_R_6_2,2.695652173913061
32,IFG_L_6_3,5.565217391304316
33,IFG_R_6_3,0.6086956521738784
34,IFG_L_6_4,2.4347826086956275
35,IFG_R_6_4,0.34782608695650197
36,IFG_L_6_5,0.34782608695650197
37,IFG_R_6_5,1.652173913043498
38,IFG_L_6_6,1.652173913043498
39,IFG_R_6_6,7.043478260869563
40,OrG_L_6_1,2.695652173913061
41,OrG_R_6_1,0.2608695652173765
42,OrG_L_6_2,5.826086956521749
43,OrG_R_6_2,0.08695652173912549
44,OrG_L_6_3,0.34782608695650197
45,OrG_R_6_3,0.34782608695650197
46,OrG_L_6_4,1.3913043478260647
47,OrG_R_6_4,0.2608695652173765
48,OrG_L_6_5,1.0434782608695627
49,OrG_R_6_5,2.173913043478251
50,OrG_L_6_6,1.0434782608695627
51,OrG_R_6_6,0.6086956521738784
52,PrG_L_6_1,2.695652173913061
53,PrG_R_6_1,4.521739130434753
54,PrG_L_6_2,1.1304347826086882
55,PrG_R_6_2,1.652173913043498
56,PrG_L_6_3,0.6086956521738784
57,PrG_R_6_3,0.08695652173912549
58,PrG_L_6_4,0.0
59,PrG_R_6_4,1.0434782608695627
60,PrG_L_6_5,0.2608695652173765
61,PrG_R_6_5,1.826086956521749
62,PrG_L_6_6,0.08695652173912549
63,PrG_R_6_6,2.347826086956502
64,PCL_L_2_1,0.34782608695650197
65,PCR_R_2_1,3.7391304347826235
66,PCL_L_2_2,1.826086956521749
67,PCR_R_2_2,0.34782608695650197
68,STG_L_6_1,2.173913043478251
69,STG_R_6_1,0.08695652173912549
70,STG_L_6_2,0.34782608695650197
71,STG_R_6_2,0.2608695652173765
72,STG_L_6_3,0.6086956521738784
73,STG_R_6_3,5.304347826086939
74,STG_L_6_4,1.1304347826086882
75,STG_R_6_4,0.08695652173912549
76,STG_L_6_5,1.4157303370786594
77,STG_R_6_5,0.08695652173912549
78,STG_L_6_6,0.08695652173912549
79,STG_R_6_6,1.0434782608695627
80,MTG_L_4_1,1.826086956521749
81,MTG_R_4_1,1.3913043478260647
82,MTG_L_4_2,0.6086956521738784
83,MTG_R_4_2,0.2608695652173765
84,MTG_L_4_3,1.1304347826086882
85,MTG_R_4_3,0.08695652173912549
86,MTG_L_4_4,0.6086956521738784
87,MTG_R_4_4,4.2608695652173765
88,ITG_L_7_1,5.35555555555557
89,ITG_R_7_1,0.35000000000004544
90,ITG_L_7_2,1.826086956521749
91,ITG_R_7_2,0.5747126436781583
92,ITG_L_7_3,2.695652173913061
93,ITG_R_7_3,1.1304347826086882
94,ITG_L_7_4,1.0434782608695627
95,ITG_R_7_4,1.652173913043498
96,ITG_L_7_5,1.1304347826086882
97,ITG_R_7_5,0.8571428571428372
98,ITG_L_7_6,2.695652173913061
99,ITG_R_7_6,1.3913043478260647
100,ITG_L_7_7,0.08695652173912549
101,ITG_R_7_7,5.826086956521749
102,FuG_L_3_1,2.173913043478251
103,FuG_R_3_1,1.1304347826086882
104,FuG_L_3_2,1.826086956521749
105,FuG_R_3_2,5.47826086956519
106,FuG_L_3_3,1.1304347826086882
107,FuG_R_3_3,1.1304347826086882
108,PhG_L_6_1,
109,PhG_R_6_1,1.9999999999990126
110,PhG_L_6_2,2.39999999999998
111,PhG_R_6_2,1.9999999999990126
112,PhG_L_6_3,0.08695652173912549
113,PhG_R_6_3,1.652173913043498
114,PhG_L_6_4,
115,PhG_R_6_4,
116,PhG_L_6_5,
117,PhG_R_6_5,
118,PhG_L_6_6,3.1304347826086882
119,PhG_R_6_6,6.608695652173878
120,pSTS_L_2_1,2.347826086956502
121,pSTS_R_2_1,1.3913043478260647
122,pSTS_L_2_2,0.08695652173912549
123,pSTS_R_2_2,1.652173913043498
124,SPL_L_5_1,1.1304347826086882
125,SPR_R_5_1,4.956521739130437
126,SPL_L_5_2,1.1304347826086882
127,SPR_R_5_2,0.34782608695650197
128,SPL_L_5_3,3.2173913043478137
129,SPR_R_5_3,2.4347826086956275
130,SPL_L_5_4,5.304347826086939
131,SPR_R_5_4,0.6086956521738784
132,SPL_L_5_5,0.2608695652173765
133,SPR_R_5_5,1.826086956521749
134,IPL_L_6_1,1.652173913043498
135,IPR_R_6_1,0.6086956521738784
136,IPL_L_6_2,1.0434782608695627
137,IPR_R_6_2,0.08695652173912549
138,IPL_L_6_3,0.7826086956521863
139,IPR_R_6_3,0.7826086956521863
140,IPL_L_6_4,0.7826086956521863
141,IPR_R_6_4,1.826086956521749
142,IPL_L_6_5,2.695652173913061
143,IPR_R_6_5,1.3913043478260647
144,IPL_L_6_6,5.304347826086939
145,IPR_R_6_6,0.7826086956521863
146,PCun_L_4_1,0.08695652173912549
147,PCun_R_4_1,0.2608695652173765
148,PCun_L_4_2,1.1304347826086882
149,PCun_R_4_2,1.1304347826086882
150,PCun_L_4_3,1.826086956521749
151,PCun_R_4_3,0.08695652173912549
152,PCun_L_4_4,0.7826086956521863
153,PCun_R_4_4,0.7826086956521863
154,PoG_L_4_1,0.7826086956521863
155,PoG_R_4_1,0.7826086956521863
156,PoG_L_4_2,1.1304347826086882
157,PoG_R_4_2,5.826086956521749
158,PoG_L_4_3,3.3913043478260647
159,PoG_R_4_3,1.1304347826086882
160,PoG_L_4_4,0.6086956521738784
161,PoG_R_4_4,2.695652173913061
162,INS_L_6_1,0.6086956521738784
163,INS_R_6_1,0.7826086956521863
164,INS_L_6_2,1.3913043478260647
165,INS_R_6_2,1.0434782608695627
166,INS_L_6_3,4.521739130434753
167,INS_R_6_3,1.826086956521749
168,INS_L_6_4,0.2608695652173765
169,INS_R_6_4,2.695652173913061
170,INS_L_6_5,3.2173913043478137
171,INS_R_6_5,2.695652173913061
172,INS_L_6_6,1.652173913043498
173,INS_R_6_6,0.08695652173912549
174,CG_L_7_1,0.08695652173912549
175,CG_R_7_1,1.826086956521749
176,CG_L_7_2,4.956521739130437
177,CG_R_7_2,2.695652173913061
178,CG_L_7_3,0.34782608695650197
179,CG_R_7_3,0.08695652173912549
180,CG_L_7_4,1.0434782608695627
181,CG_R_7_4,1.1304347826086882
182,CG_L_7_5,3.1304347826086882
183,CG_R_7_5,0.6086956521738784
184,CG_L_7_6,0.7826086956521863
185,CG_R_7_6,0.34782608695650197
186,CG_L_7_7,1.652173913043498
187,CG_R_7_7,1.652173913043498
188,MVOcC _L_5_1,1.652173913043498
