roi,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224
10,-0.24992319728098236,,0.11442681356230228,,-0.018579501410133904,-0.2167114372391479,,,0.4131406761283506,,,,0.24027819606414594,,0.32197052496670764,0.014029101281272495,,,,,-0.04778246129835562,,,,,,,,,,,,-0.22027778360476447,,,,-0.32429262324452507,,,,0.23060110384475047,,,,,,0.22258168048855403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05681711506169289,,,,,,-0.0620664483694882,,,,0.009178656971644416,-0.1711001588567063,-0.016259799664495162,,,,-0.5504818223355029,,-0.8798894614857554,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06522718823049535,-0.08400631965511983,-0.1501655338399829,,,,,,,,,,,,
11,,-0.03671314707102065,,0.17259200560532956,0.027757960746395808,-0.03758704987576565,,,,-0.47400475554336513,,,,0.06856157553296433,0.19038657925897481,-0.44620855341277615,,,,-0.035446887725832286,0.06208497996667018,,0.14326052558326216,-0.38982460507054656,,,,-0.15208769476700387,,,,-0.010470592783831015,,0.12953411819935665,,,,-0.1385318661869161,,,,0.06483633041355183,,,,,,0.16785188973325763,,0.25372300687202787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11242923039139255,0.10101008582742355,,0.03655040038773994,,0.07619730489363914,,-0.24679073610501176,,-0.22527737111261056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15350183670527945,,,,0.1843355129713791,-0.00915622933791616,-0.00968689153114799,,,,
12,-0.15907982528272682,,-0.12088056922755827,,-0.4156450020607153,,,,0.18574758903165192,,0.24027819606414594,,,0.08926159760032047,-0.37383908020696016,,,,-0.0930988612131234,0.05426952597991015,-0.5751019643896366,0.07241011225347062,,,,,-0.02128725900984344,0.058829280273222435,,,,,,,-0.07577842062135677,,,,,,0.004623517897109473,,-0.08540048055405833,,0.5006803532129478,,0.2163171179634774,,-0.06108309837468185,,-0.13908087457949322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15237298710744004,,,,,,,,,,,,-0.15755929552443002,0.001421314285490773,-0.2320146270346191,,,,-0.5093882514755171,,,,0.283691284512897,,,,,,,,,,,,,,,,,,,,,,,,,-0.18550884024649775,-0.2662093440737419,,,,,,,,,,,,
13,,-0.17055334503377073,,,,0.0730664670431831,,,,,,0.06856157553296433,0.08926159760032047,,0.017411792315558318,,,,0.2119957970941589,0.36115926639520884,-1.0169505804093628,0.2909674658451171,,,,,0.3498313110925613,0.20694136987267137,,,,,,,,0.39596310389720774,,-0.033785435528948075,,,,0.21824060497131864,,-0.24051717210825843,,0.1345432029555586,,0.441436543278073,,0.1692210540210788,,0.2563867998506535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37385287654414073,,-0.06110818482335501,,,,,,,,0.1497091234617969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12519115383700805,0.029706753416754973,,,,
14,,,0.12342277556609989,,-0.015188059786048171,0.16325114000096358,,,,,0.32197052496670764,0.19038657925897481,-0.37383908020696016,0.017411792315558318,,0.277381724713985,-0.022749880237728105,,-0.3564390487871383,0.034792974085614374,-0.17491887641353673,0.007205780606018817,-0.01023938471615278,,-0.35370075341765067,,-0.1418628368097296,,,,-0.09606346237037647,,-0.3208889822498367,,0.18254067127502885,,-0.09022035709467326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4456539948349185,,,,,,,,,,,,,,,,,,-0.15610741989079968,,,,,,,,,,0.02369918155430616,0.1676031769840735,,,,,,,-0.2667384981023559,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13293110522988294,-0.08159518516911987,-0.40629390172758795,,-0.3325982601566585,,,,,,,,,,
15,,0.05001474731137323,,-0.025958812118756516,0.25713682524966325,-0.04540930625663905,,0.28233326992353086,,,0.014029101281272495,-0.44620855341277615,,,0.277381724713985,,-1.1223363248367477,0.051285119404575266,,-0.24233829039784727,0.11687460708554061,0.29700231620272044,0.2646185059225181,0.04683188182643177,,0.04321629886890371,,0.20432431982915505,,,,-0.282621163442908,,0.14194064970046072,,0.19491259293738708,,0.1270459585578054,,,,,,,,,,,,,,,,,,0.09129530206316912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09991398202087858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2638398158906679,,,,,,-0.20791052247079253,,,0.2967939669676357,0.11874047578416427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08777018483389509,,,,0.018838011027396274,0.1407774635533754,-0.30903072999933495,,,,
16,-0.06164941441230822,-1.135631040640778,0.1566259235951887,,,,,,,,,,,,-0.022749880237728105,-1.1223363248367477,,,-0.296798323852995,,-0.40164095241499426,,0.1363031092057551,-0.9785939457344185,-0.019614850978010464,-0.4281512704675302,-0.19330327281977147,,-0.05382983986544129,,-0.553467104985138,,-0.05318801067968153,,,,,,-0.0358487626765787,,,,,,,,,,,,,,0.0016883344234870658,,-0.074076810881897,,,,,,,,0.19421844991346446,,,,,,,,,,,,,,,,,,,,,,-0.250479728612379,,,,,,,,,,,,0.050562419848955154,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07053353640523134,,,,,,,,,,,,,,-0.11827778982508866,,,,0.04703581939367562,,-0.32437118752826744,,,,,,,,,,,,-0.042977346918785096,,,,,,,,,,,,,,,,,,-0.43375465564082755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3172419197900997,0.23724861210566264,,,,,,,,,,,,
17,,-0.5377731913422918,,0.010650308290015663,,,,0.2961669727553941,,,,,,,,0.051285119404575266,,,,,,-0.15697747870467763,,0.11975810883264028,-1.4752466885202267,0.32531093011348844,,,,0.05394564069477473,,0.19570826004016834,,-0.31591753613469326,,,,,,0.2101813549276459,,,,,,,,,,,,,,-0.3053549687137483,,0.1684266980646125,,-0.2435878218755136,,,,,,0.038934273859026064,,,,,,,,,,,,,,,,,,,,,,0.10064285280753248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04898713095789711,,0.025056333075122898,,0.052236270973316866,,-0.37469101932702126,,,,,,,,,,,,-0.7765145799010484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.26845063638102595,,,,,
18,,,-0.07909028336644511,,-0.2758409978020459,,,,,,,,-0.0930988612131234,0.2119957970941589,-0.3564390487871383,,-0.296798323852995,,,-0.0443278935036566,-0.3066947371978525,0.12931260655020624,-0.2186383513143864,,,,0.16053128599382727,0.15236943854444798,,,-1.1933443908252566,,,,-0.06119095431026821,,0.08414659030749357,,,,,,-0.23156308181353633,,,,0.09155295383626579,,,,0.0024804938940007734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18676887494624317,,0.05257694613939494,,,,,,,,,,-0.004086775752445438,-0.12324548346332341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.053964777995506086,-0.30679139607454364,-0.03209334000671628,,,,,,,,,,,,
19,,-0.1441726689443087,,0.15845517561883296,0.16159542019151804,0.1232212560023263,,,,,,-0.035446887725832286,0.05426952597991015,0.36115926639520884,0.034792974085614374,-0.24233829039784727,,,-0.0443278935036566,,-0.08336506478848112,0.07779235926710419,,-0.7063699182139397,,,,0.08777207883310754,,,,-0.06414356877851592,,,,0.10327672238911331,,0.18733629433178264,,,,,,-0.49445663011544183,,0.3584250822511756,,0.1940958636707842,,,,0.0773581087816744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5279144727009109,,,,,,,,,,0.11503299082280416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11047990371021857,0.03617562314426146,-0.2940476879055646,,,,
20,,,-0.19414953114836433,,-0.13038754412439185,-0.007278024494985541,,,,,-0.04778246129835562,0.06208497996667018,-0.5751019643896366,-1.0169505804093628,-0.17491887641353673,0.11687460708554061,-0.40164095241499426,,-0.3066947371978525,-0.08336506478848112,,-0.4472548181120902,-0.1406823032641233,,,,-0.19454496878964664,,-0.29771278122913425,,-0.5445486383229193,,-0.6038083236444778,,-0.213634117403112,,-0.3001869126079794,,,,,,-0.017452180979434434,,,,,,,,-0.006796222690212983,,,,,,,,,,,,0.07828670754326905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010133952027093465,,,,,,-0.038808003031748736,,,,,,-0.10317276460937619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2723537149136547,-0.1246664023876929,-0.3860230976498956,,-0.4949789956606336,,,,,,,,,,
21,,,,,,0.19058348417168738,,,,,,,0.07241011225347062,0.2909674658451171,0.007205780606018817,0.29700231620272044,,-0.15697747870467763,0.12931260655020624,0.07779235926710419,-0.4472548181120902,,,0.13537890589189414,,,,0.4170300287056481,,0.22505556709618982,,-0.11204914089192979,,0.2493864723015807,,0.21724080759056738,,-0.8714699860181273,,,,,,0.5506369316398935,,0.3863395281479747,,,,,,0.0917111346019209,,,,,,,,,,,,0.08415586891871299,,,,,,,,,,,,,,,,,,,,,,0.02771227642117798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0580154224448532,,-1.2850297164256292,,,,,,,,,,,,,,,,,,,,,,,,0.06864816757127955,,,,,,,,,,0.45356875465559293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21549115007117228,,,,-0.095648091968479,-0.08722321645071063,-0.37174576618965555,,,,
22,-1.1260305996543234,-0.516673059090437,0.008291502392284478,0.46660409188160873,0.05778606433168356,-0.03367184383007126,-0.19717042373837793,,,,,0.14326052558326216,,,-0.01023938471615278,0.2646185059225181,0.1363031092057551,,-0.2186383513143864,,-0.1406823032641233,,,0.303202815313242,-0.16904546613647842,,0.20764086892098582,,0.013499125690717427,,-0.19337384650198605,,0.12135058180806861,,,,,,0.26470982150273287,,,,,,,,,,,,,,,,-0.49402839685039046,,,,,,,,0.09649391060202875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066650830781452,,-0.34410104332477787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12990473614631642,,,,0.3167658762511905,0.13353842881904046,,,,,0.058353419598699045,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7034838720838493,-0.4041875214965423,-0.23519883084687604,,-0.12090624116552283,,,,,,,,,,
23,-0.09235584052332212,0.15588822453700185,-0.5111954327085303,0.1130096874521897,,-0.1491141576913875,,,,,,-0.38982460507054656,,,,0.04683188182643177,-0.9785939457344185,0.11975810883264028,,-0.7063699182139397,,0.13537890589189414,0.303202815313242,,,0.06507744915474195,,-0.59844016443236,,0.18853507298083838,,0.07301062241224203,,0.278451006459499,,,,0.32968280374433606,,0.23966148803332465,,,,,,,,,,,,,,,,0.1216882227156799,,,,,,,,0.3254962525661538,,,,,,,,,,,,,,,,,,,,,,0.14357148334718844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3093744624457571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07348759707077852,,,,0.05187302192276267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6628259327328759,-0.4419607331499209,0.269669644355958,,,,
24,,0.1813919654350985,-0.28938279355778784,,,,0.0006359361688031055,-0.008146123304519687,,-0.7254308242317417,,,,,-0.35370075341765067,,-0.019614850978010464,-1.4752466885202267,,,,,-0.16904546613647842,,,0.010418838050927743,,,-0.6459972504164735,,,,,,,,,,-0.197336244022774,,,,,,,,,,,,,,0.023801384902179114,,-0.4463200854329661,,0.3043272312078587,,,,-0.22605867145963907,,-0.10660951966433217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2697242817167778,,-0.7151491149920425,,,,,,-0.13982077686307215,,,,,,,,,,,,0.18486262274682663,,,,,,,,,,,,,,,,,,,,,,,0.11165973504698866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052463993672166476,,-0.014101884738336927,,-0.5502382232367795,,,,,,,,,,
