,subject,slope
0,sub-pl002,-0.10892803516325282
1,sub-pl006,0.11278169011267422
2,sub-pl015,0.1065854584988101
3,sub-pl021,-0.07937915735106792
4,sub-pl022,0.24085835774881242
5,sub-pl023,0.014887459761142387
6,sub-pl024,-0.10993999195700146
7,sub-pl025,-0.0593666406477056
8,sub-pl029,-0.20097755976236104
9,sub-pl040,0.2491358294346325
10,sub-pl041,-0.014692464534913787
11,sub-pl046,-0.0541777439596698
12,sub-pl048,0.09848101109025739
13,sub-pl051,0.0764612556083507
14,sub-pl052,0.07508321548597371
15,sub-pl053,-0.08628689880167977
16,sub-pl054,0.09247579996647698
17,sub-pl057,-0.051930332089770395
18,sub-pl058,0.002666722693460369
19,sub-pl059,-0.1286974087176787
20,sub-pl060,-0.035244491306228636
21,sub-pl061,-0.14915046541042165
22,sub-pl062,0.057658591608705075
23,sub-pl065,-0.04830420230754425
