,subject,slope,R²
0,sub-pl007,0.20532920409411998,0.020175787325766196
1,sub-pl008,0.08268050368095749,0.00625926156222694
2,sub-pl010,-0.3005718880628656,0.08943961921808292
3,sub-pl012,0.27602624785351076,0.03924948620456294
4,sub-pl013,-0.3755051312388693,0.0819003722564633
5,sub-pl014,0.25945587229279893,0.049688706196020054
6,sub-pl016,-0.3521910433543621,0.14675549747660058
7,sub-pl017,0.30809406725024835,0.05040271694106504
8,sub-pl019,-0.2684689438584642,0.07124802144408603
9,sub-pl027,0.21466802750296415,0.04085054024838797
10,sub-pl030,-0.1535927940032325,0.020629261107655283
11,sub-pl031,0.20189762364016867,0.031648438695766265
12,sub-pl032,0.34134822203806886,0.06540741771054633
13,sub-pl034,0.31154838142650393,0.03086805112035663
14,sub-pl035,-0.2810446490929304,0.11941763536517847
15,sub-pl036,0.03091724641901103,0.0005985280228761003
16,sub-pl037,0.2002909873965957,0.035899488829121196
17,sub-pl038,-0.03597679785138966,0.0007184113644808456
18,sub-pl039,-0.12282244065811329,0.017745375033951648
19,sub-pl042,0.04953707868732789,0.0039001728003486215
20,sub-pl047,-0.08906853114929984,0.01231167398667139
21,sub-pl049,-0.0559900413209698,0.004830633236206237
22,sub-pl050,-0.07678577885650091,0.010125593117162173
23,sub-pl055,0.1772449408835092,0.019391406293577572
24,sub-pl056,0.058176823674574156,0.0021869948758397265
25,sub-pl063,-0.35965057607955303,0.11652359268098465
26,sub-pl064,-0.23320425811987025,0.07062839107174497
