,subject,slope
0,sub-pl007,-0.0944258988149819
1,sub-pl008,0.018361723297561524
2,sub-pl010,-0.028943879660361074
3,sub-pl012,-0.10996322876545095
4,sub-pl013,0.0639702850176938
5,sub-pl014,0.24470091214508147
6,sub-pl016,-0.10678237032341377
7,sub-pl017,-0.17764108206201207
8,sub-pl019,-0.10335764488350102
9,sub-pl027,-0.05372105638990466
10,sub-pl030,0.0070463759938258095
11,sub-pl031,-0.05313535264534138
12,sub-pl032,0.12361066611884737
13,sub-pl034,0.05840217388140693
14,sub-pl035,-0.06088924521111475
15,sub-pl036,-0.033818010831168685
16,sub-pl037,0.11337385153234132
17,sub-pl038,-0.04702747979888179
18,sub-pl039,0.029808282936064186
19,sub-pl042,0.005563963123907415
20,sub-pl047,0.24632552649163536
21,sub-pl049,-0.04320682583522936
22,sub-pl050,0.12179888720794266
23,sub-pl055,0.007520155591220385
24,sub-pl056,-0.10168382805119483
25,sub-pl063,0.11123486082457551
26,sub-pl064,0.028083791083731314
